,0,1
0,0,"0.061*""#AltonSterling"" + 0.034*""conference"" + 0.031*""It"" + 0.030*""#PhilandoCastile"" + 0.022*""State"" + 0.021*""decision"" + 0.017*""release"" + 0.017*""press"" + 0.016*""shooting"" + 0.016*""death"""
1,1,"0.061*""#AltonSterling"" + 0.041*""still"" + 0.028*""office"" + 0.025*""bc"" + 0.025*""announcement"" + 0.022*""live"" + 0.022*""AG's"" + 0.022*""conference"" + 0.021*""Watch"" + 0.020*""Preparations"""
2,2,"0.039*""killing"" + 0.030*""#AltonSterling"" + 0.028*""July"" + 0.024*""("" + 0.024*"")"" + 0.020*""ON"" + 0.019*""execution"" + 0.019*""#StephonClark's"" + 0.019*""ALL"" + 0.019*""anomaly"""
3,3,"0.050*""#AltonSterling"" + 0.037*""get"" + 0.027*""#altonsterling"" + 0.025*""family"" + 0.018*""deaths"" + 0.018*""Beyonc"" + 0.018*""th"" + 0.018*""change"" + 0.013*""justice"" + 0.013*""state"""
4,4,"0.063*""#AltonSterling"" + 0.021*""conference"" + 0.019*""charges"" + 0.018*""press"" + 0.018*""White"" + 0.018*""connection"" + 0.018*""Do"" + 0.017*""decision"" + 0.013*""officers"" + 0.011*""America"""
5,5,"0.052*""#AltonSterling"" + 0.027*""#BatonRouge"" + 0.026*""boy"" + 0.025*""#BlackLivesMatter"" + 0.024*""TONIGHT"" + 0.019*""#altonsterling"" + 0.018*""A"" + 0.012*""Privileged"" + 0.012*""#BlackPeople"" + 0.012*""LOVE"""
6,6,"0.048*""#AltonSterling"" + 0.033*""Baton"" + 0.033*""tonight"" + 0.032*""Rouge"" + 0.025*""officers"" + 0.022*""#StephonClark"" + 0.021*""shooting"" + 0.020*""names"" + 0.019*""press"" + 0.015*""death"""
7,7,"0.068*""#AltonSterling"" + 0.043*""#PhilandoCastile"" + 0.039*""#StephonClark"" + 0.033*""#TamirRice"" + 0.033*""#KeithLamontScott"" + 0.033*""#SamDubose"" + 0.033*""names"" + 0.033*""#SandraBla"" + 0.033*""Remember"" + 0.033*""#TerenceCrutcher"""
8,8,"0.096*""announcement"" + 0.085*""ppl"" + 0.081*""#AltonSterling"" + 0.079*""#BatonRouge"" + 0.030*""law"" + 0.030*""enforcement"" + 0.030*""Is"" + 0.030*""government"" + 0.027*""prepa"" + 0.022*""#StephonClark"""
9,9,"0.110*""#AltonSterling"" + 0.109*""#KeithLamontScott"" + 0.109*""#TerenceCrutcher"" + 0.109*""#SamDubose"" + 0.109*""#StephonClark"" + 0.109*""#PhilandoCastile"" + 0.109*""names"" + 0.109*""Remember"" + 0.108*""#SandraBla"" + 0.001*""Mike"""
10,10,"0.031*""police"" + 0.028*""shot"" + 0.025*""like"" + 0.025*""looks"" + 0.023*""It"" + 0.022*""officers"" + 0.020*""Robert"" + 0.020*""trolls"" + 0.020*""Kinnison"" + 0.020*""list"""
11,11,"0.083*""#AltonSterling"" + 0.045*""#PhilandoCastile"" + 0.040*""#StephonClark"" + 0.040*""Remember"" + 0.040*""#SandraBla"" + 0.039*""#TerenceCrutcher"" + 0.039*""#KeithLamontScott"" + 0.039*""names"" + 0.039*""#SamDubose"" + 0.017*""A"""
12,12,"0.063*""killing"" + 0.032*""NOT"" + 0.032*""police"" + 0.031*""TAPE"" + 0.031*""witnessed"" + 0.031*""execution"" + 0.031*""latest"" + 0.031*""#StephonClark's"" + 0.031*""ALL"" + 0.031*""anomaly"""
13,13,"0.135*""soon"" + 0.057*""#AltonSterling"" + 0.027*""#StephonClark"" + 0.023*""ppl"" + 0.017*""Remember"" + 0.017*""#KeithLamontScott"" + 0.017*""#SamDubose"" + 0.017*""#PhilandoCastile"" + 0.017*""names"" + 0.017*""#TerenceCrutcher"""
14,14,"0.065*""#AltonSterling"" + 0.025*""#ConversationsWithAmerica"" + 0.025*""incident"" + 0.025*""Ohio"" + 0.025*""Jones"" + 0.025*""Officer"" + 0.025*""Police"" + 0.025*""#TD"" + 0.025*""Nakia"" + 0.025*""spoke"""
15,15,"0.043*""#AltonSterling"" + 0.037*""killing"" + 0.024*""#StephonClark"" + 0.024*""#SamDubose"" + 0.024*""#KeithLamontScott"" + 0.024*""#TerenceCrutcher"" + 0.023*""#PhilandoCastile"" + 0.023*""#SandraBla"" + 0.022*""names"" + 0.022*""Remember"""
16,16,"0.099*""#AltonSterling"" + 0.079*""started"" + 0.071*""#PhilandoCastile"" + 0.062*""#StephonClark"" + 0.061*""#TerenceCrutcher"" + 0.061*""#SamDubose"" + 0.061*""names"" + 0.061*""Remember"" + 0.061*""#KeithLamontScott"" + 0.061*""#SandraBla"""
17,17,"0.113*""coming"" + 0.082*""Is"" + 0.082*""enforcement"" + 0.082*""government"" + 0.082*""law"" + 0.076*""prepa"" + 0.037*""#AltonSterling"" + 0.031*""call"" + 0.021*""prayers"" + 0.011*""went"""
18,18,"0.060*""firing"" + 0.060*""NAACP"" + 0.037*""shooting"" + 0.036*""killing"" + 0.031*""police"" + 0.031*""officers"" + 0.026*""Alton"" + 0.026*""involved"" + 0.026*""Sterling"" + 0.024*""holds"""
19,19,"0.055*""#AltonSterling"" + 0.024*""'"" + 0.022*""officers"" + 0.022*""told"" + 0.021*""immediately"" + 0.021*""charg"" + 0.021*""Ive"" + 0.021*""likely"" + 0.021*""killed"" + 0.021*""dismissed"""
