lda,lsi
"(0, '0.053*""#AltonSterling"" + 0.052*""officers"" + 0.042*""NAACP"" + 0.041*""firing"" + 0.033*""involved"" + 0.028*""shooting"" + 0.028*""#PhilandoCastile"" + 0.025*""people"" + 0.024*""Alton"" + 0.024*""murdered""')","(0, '0.355*""#AltonSterling"" + 0.334*""#PhilandoCastile"" + 0.331*""#StephonClark"" + 0.330*""#KeithLamontScott"" + 0.330*""#TerenceCrutcher"" + 0.330*""#SamDubose"" + 0.330*""Remember"" + 0.330*""names"" + 0.328*""#SandraBla"" + 0.005*""officers""')"
"(1, '0.070*""#AltonSterling"" + 0.043*""#TamirRice"" + 0.030*""#TrayvonMartin"" + 0.030*""#PhilandoCastile"" + 0.030*""many"" + 0.027*""#RekiaBoyd"" + 0.027*""#LaquanMcDonald"" + 0.027*""#KorrynGaines"" + 0.027*""#DecynthiaClements"" + 0.026*""Brown""')","(1, '-0.518*""killing"" + -0.265*""police"" + -0.261*""NOT"" + -0.258*""latest"" + -0.257*""execution"" + -0.257*""ALL"" + -0.257*""His"" + -0.257*""anomaly"" + -0.257*""#StephonClark\'s"" + -0.255*""ON""')"
"(2, '0.060*""#AltonSterling"" + 0.040*""Eric"" + 0.040*""Garner"" + 0.039*""Philando"" + 0.039*""Clark"" + 0.039*""Michael"" + 0.039*""Stephon"" + 0.036*""Brown"" + 0.036*""Trayvon"" + 0.036*""Martin""')","(2, '0.525*""#AltonSterling"" + 0.293*""death"" + 0.289*""shooting"" + 0.288*""decision"" + 0.194*""State"" + 0.184*""officers"" + 0.153*""#BREAKING"" + 0.150*""come"" + 0.149*""tomorrow"" + 0.140*""release""')"
"(3, '0.058*""Louisiana"" + 0.055*""charges"" + 0.047*""announce"" + 0.042*""The"" + 0.040*""including"" + 0.039*""investigation"" + 0.037*""results"" + 0.036*""state"" + 0.030*""k"" + 0.030*""possible""')","(3, '0.452*""#AltonSterling"" + -0.207*""#AltonSterlings"" + -0.205*""come"" + -0.203*""early"" + -0.203*""could"" + -0.202*""It"" + -0.202*""tomorrow"" + -0.202*""week"" + -0.198*""#BREAKING"" + -0.198*""release""')"
"(4, '0.079*""#AltonSterling"" + 0.067*""announcement"" + 0.064*""ppl"" + 0.062*""#BatonRouge"" + 0.062*""coming"" + 0.061*""soon"" + 0.058*""law"" + 0.058*""enforcement"" + 0.058*""government"" + 0.058*""Is""')","(4, '-0.241*""Garner"" + -0.241*""Eric"" + -0.240*""Michael"" + -0.239*""Philando"" + -0.239*""Clark"" + -0.239*""Stephon"" + -0.235*""Brown"" + -0.229*""Trayvon"" + -0.229*""Martin"" + -0.227*""Rice""')"
"(5, '0.071*""#AltonSterling"" + 0.047*""No"" + 0.040*""officers"" + 0.039*""charges"" + 0.035*""get"" + 0.035*""police"" + 0.021*""prayers"" + 0.017*""system"" + 0.017*""The"" + 0.017*""There""')","(5, '0.312*""told"" + 0.264*""likely"" + 0.262*""dismissed"" + 0.261*""immediately"" + 0.261*""Ive"" + 0.257*""charg"" + 0.256*""killed"" + -0.252*""state"" + 0.222*""officers"" + -0.144*""whether""')"
"(6, '0.129*""killing"" + 0.067*""NOT"" + 0.066*""police"" + 0.063*""latest"" + 0.062*""execution"" + 0.061*""ALL"" + 0.061*""His"" + 0.061*""anomaly"" + 0.061*""#StephonClark\'s"" + 0.061*""witnessed""')","(6, '-0.296*""Alton"" + -0.278*""Sterling"" + -0.248*""general"" + -0.246*""charges"" + -0.246*""attorney"" + -0.205*""says"" + -0.191*""Washington"" + -0.191*""aunt"" + -0.191*""Veda"" + -0.185*""She""')"
"(7, '0.098*""#AltonSterling"" + 0.053*""officers"" + 0.035*""death"" + 0.034*""killed"" + 0.029*""state"" + 0.028*""likely"" + 0.028*""shooting"" + 0.026*""family"" + 0.026*""dismissed"" + 0.026*""Ive""')","(7, '-0.325*""charges"" + -0.284*""officers"" + -0.232*""Louisiana"" + 0.191*""July"" + 0.183*""says"" + 0.178*""Alton"" + 0.173*""Sterling"" + 0.168*""decision"" + -0.154*""The"" + 0.149*""#AltonSterling""')"
"(8, '0.110*""#PhilandoCastile"" + 0.110*""#StephonClark"" + 0.110*""#AltonSterling"" + 0.110*""#TerenceCrutcher"" + 0.110*""#KeithLamontScott"" + 0.110*""#SamDubose"" + 0.110*""names"" + 0.110*""Remember"" + 0.109*""#SandraBla"" + 0.001*""tonight""')","(8, '0.341*""July"" + -0.267*""#AltonSterling"" + 0.195*""state"" + 0.195*""\'"" + 0.192*""charge"" + 0.188*""As"" + 0.188*""#BlaneSalamoni"" + 0.188*""await"" + 0.188*""16"" + 0.185*""today\'s""')"
"(9, '0.071*""Alton"" + 0.062*""Sterling"" + 0.047*""says"" + 0.044*""general"" + 0.039*""attorney"" + 0.033*""Veda"" + 0.033*""Washington"" + 0.033*""aunt"" + 0.032*""She"" + 0.030*""exited""')","(9, '-0.311*""#PhilandoCastile"" + -0.274*""July"" + -0.186*""day"" + -0.184*""also"" + -0.183*""5th"" + -0.183*""Let\'s"" + -0.183*""Yet"" + -0.183*""BEFORE"" + -0.183*""6th"" + -0.182*""remember""')"
