id,tokens,tweet
1,"['Let', 'say', 'Officers', 'rarely', 'get', 'charged', 'killings', 'blk', 'folks', 'country', 'even', 'r']",Let me say this again: Officers rarely get charged with the killings of blk folks in this country - and even more r 
2,"['These', 'egregious', 'reminders', 'repeated', 'injustice', 'lack', 'police', 'accountability', '#AltonSterling', 'latest']",These are egregious reminders of repeated injustice and lack of police accountability. #AltonSterling is the latest 
3,"['More', 'people', 'punished', 'taking', 'knee', 'fight', 'white', 'supremacy', 'murder', 'cold', 'blood', 'video', '#AltonSterling']",More people have been punished for taking a knee to fight white supremacy than those who murder in cold blood on video. #AltonSterling
4,"['I', 'asked', 'comment', 'leadership', 'deaths', '#AltonSterling', '#EricGarner', '#StephonClark']",I asked for comment and leadership on deaths of #AltonSterling #EricGarner #StephonClark
5,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
6,"['I', 'asked', 'comment', 'leadership', 'deaths', '#AltonSterling', '#EricGarner', '#StephonClark']",I asked for comment and leadership on deaths of #AltonSterling #EricGarner #StephonClark
7,"['#AltonSterling', 'getting', 'legally', 'lynched', 'wake', 'Black', 'people', 'reality', 'You', 'ZERO', 'legal', 'protect']",#AltonSterling getting legally lynched should wake more Black people up to the reality that: *You have ZERO legal protect
8,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
9,"['We', 'apologize', 'Baton', 'Rouge', 'Louisiana', 'failed', '#AltonSterling']",We apologize that Baton Rouge and Louisiana failed you!! #AltonSterling
10,"['Thats', 'right', 'Demonize', 'victim', 'justify', 'summary', 'execution', 'Police', 'State', 'Barbie', '#AltonSterling']","Thats right. Demonize the victim to justify summary execution, Police State Barbie. #AltonSterling "
11,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
12,"['Jane', 'Elliott', 'If', 'white', 'person', 'would', 'happy', 'receive', 'treatment', 'black', 'citizens', 'thi']","Jane Elliott: If you, as a white person, would be happy to receive the same treatment as our black citizens do in thi"
13,"['More', 'people', 'punished', 'taking', 'knee', 'fight', 'white', 'supremacy', 'murder', 'cold', 'blood', 'video', '#Alto']",More people have been punished for taking a knee to fight white supremacy than those who murder in cold blood on video. #Alto
14,"['Breaking', 'News', 'Louisiana', 'Attorney', 'General', 'indicts', 'Nobody', 'police', 'killing', '#AltonSterling', 'Nobody', 'career', 'murde']","Breaking News: Louisiana Attorney General indicts Nobody in the police killing of #AltonSterling . Nobody, a career murde"
15,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
16,"['Once', 'Im', 'taking', 'knee', 'protest', 'cold-blooded', 'murders', 'Stephon', 'Clark', 'Philando', 'Castile', 'Eric', 'Garner', 'Michael', 'Bro']","Once again Im taking a knee to protest the cold-blooded murders of Stephon Clark, Philando Castile, Eric Garner, Michael Bro"
