id,tweet,date,screenName,retweetCount,isRetweet,retweeted,favoriteCount,originaltweet
1,Let me say this again: Officers rarely get charged with the killings of blk folks in this country - and even more r ,2018-03-27 15:29:57,CharlesMBlow,7349,False,False,18164,Let me say this again: Officers rarely get charged with the killings of blk folks in this country - and even more râ¦ https://t.co/3Q6SJQaYD7
2,These are egregious reminders of repeated injustice and lack of police accountability. #AltonSterling is the latest ,2018-03-27 18:30:09,blackvoices,3869,False,False,4505,These are egregious reminders of repeated injustice and lack of police accountability. #AltonSterling is the latestâ¦ https://t.co/LYXxE2rCrt
3,More people have been punished for taking a knee to fight white supremacy than those who murder in cold blood on video. #AltonSterling,2018-03-27 17:00:42,eugenegu,3665,False,False,9030,More people have been punished for taking a knee to fight white supremacy than those who murder in cold blood on video. #AltonSterling
4,I asked for comment and leadership on deaths of #AltonSterling #EricGarner #StephonClark,2018-03-28 23:23:14,mamaontheleft,709,True,False,0,RT @AprilDRyan: I asked @PressSec for @POTUS @realDonaldTrump comment and leadership on deaths of #AltonSterling #EricGarner #StephonClarkâ¦
5,#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher,2018-03-28 23:23:13,alananikki,29552,True,False,0,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcherâ¦"
6,I asked for comment and leadership on deaths of #AltonSterling #EricGarner #StephonClark,2018-03-28 23:23:12,angelafrancis,709,True,False,0,RT @AprilDRyan: I asked @PressSec for @POTUS @realDonaldTrump comment and leadership on deaths of #AltonSterling #EricGarner #StephonClarkâ¦
7,#AltonSterling getting legally lynched should wake more Black people up to the reality that: *You have ZERO legal protect,2018-03-28 23:23:11,realreec,1577,True,False,0,"RT @tariqnasheed: #AltonSterling getting legally lynched should wake more Black people up to the reality that:
*You have ZERO legal protectâ¦"
8,#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher,2018-03-28 23:23:11,_Lxura_,29552,True,False,0,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcherâ¦"
9,We apologize that Baton Rouge and Louisiana failed you!! #AltonSterling,2018-03-28 23:23:01,_SheSoTINY,959,True,False,0,RT @boobiegotti2: We apologize that Baton Rouge and Louisiana failed you!! #AltonSterling
10,"Thats right. Demonize the victim to justify summary execution, Police State Barbie. #AltonSterling ",2018-03-28 23:22:58,AnonBruja,2,True,False,0,"RT @Astorix23: Thatâs right. Demonize the victim to justify summary execution, Police State Barbie.  #AltonSterling https://t.co/yVcbbDpPV2"
11,#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher,2018-03-28 23:22:58,_erkkk,29552,True,False,0,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcherâ¦"
12,"Jane Elliott: If you, as a white person, would be happy to receive the same treatment as our black citizens do in thi",2018-03-28 23:22:57,DasEarlGray,2123,True,False,0,"RT @MyDaughtersArmy: Jane Elliott: ""If you, as a white person, would be happy to receive the same treatment as our black citizens do in thiâ¦"
13,More people have been punished for taking a knee to fight white supremacy than those who murder in cold blood on video. #Alto,2018-03-28 23:22:54,CynicalVision50,3665,True,False,0,RT @eugenegu: More people have been punished for taking a knee to fight white supremacy than those who murder in cold blood on video. #Altoâ¦
14,"Breaking News: Louisiana Attorney General indicts Nobody in the police killing of #AltonSterling . Nobody, a career murde",2018-03-28 23:22:53,theadebolayinka,527,True,False,0,"RT @AfricanaCarr: Breaking News: Louisiana Attorney General indicts Nobody in the police killing of #AltonSterling . Nobody, a career murdeâ¦"
15,#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher,2018-03-28 23:22:46,loveeecheeer,29552,True,False,0,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcherâ¦"
16,"Once again Im taking a knee to protest the cold-blooded murders of Stephon Clark, Philando Castile, Eric Garner, Michael Bro",2018-03-28 23:22:45,GheeMoney,2185,True,False,0,"RT @eugenegu: Once again Iâm taking a knee to protest the cold-blooded murders of Stephon Clark, Philando Castile, Eric Garner, Michael Broâ¦"
17,#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher,2018-03-28 23:22:45,LaDariusTheReal,29552,True,False,0,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcherâ¦"
18,Now do ya'll understand why takes a knee? #AltonSterling,2018-03-28 23:22:39,mariahjoeyoung,4018,True,False,0,"RT @ZerlinaMaxwell: Now do ya'll understand why @Kaepernick7 takes a knee?

#AltonSterling"
19,#StephonClark had a cell phone. #TamirRice had a toy gun #WalterScott was running away #SandraBland had a broken tail light #,2018-03-28 23:22:32,coolmomlife,1958,True,False,0,"RT @lynnv378: #StephonClark had a cell phone.
#TamirRice had a toy gun
#WalterScott was running away
#SandraBland had a broken tail light
#â¦"
20,"Blacks account for 49% of all murder, yet comprise only 14% of the population. 93% of black victims are murdered by othe",2018-03-28 23:22:30,bowhunter_va,39,True,False,0,"RT @BlueColossus: Blacks account for 49% of all murder,
yet comprise only 14% of the population.

93% of black victims are murdered by otheâ¦"
21,#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher,2018-03-28 23:22:29,ruthbitamazire,29552,True,False,0,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcherâ¦"
22,More people have been punished for taking a knee to fight white supremacy than those who murder in cold blood on video. #Alto,2018-03-28 23:22:28,thatgirl523,3665,True,False,0,RT @eugenegu: More people have been punished for taking a knee to fight white supremacy than those who murder in cold blood on video. #Altoâ¦
23,One thing I'll never understand is how America can rally protest in every city to stop innocent people from being gunned dow,2018-03-28 23:22:28,mapsarecool12,108,True,False,0,RT @JLA9178: One thing I'll never understand is how America can rally &amp; protest in every city to stop innocent people from being gunned dowâ¦
