"","word","n"
"1","movement",2350
"2","women",2085
"3","timesup",1912
"4","sexual",1507
"5","world",644
"6","assault",625
"7","der",556
"8","harassment",530
"9","moment",509
"10","support",501
"11","girls",423
"12","time",404
"13","house",394
"14","people",394
"15","withyou",394
"16","woman",391
"17","grammys",390
"18","ht",377
"19","black",376
"20","sistar",361
"21","trump",360
"22","story",358
"23","korea's",334
"24","monica",325
"25","lewinsky",303
"26","abuse",297
"27","vcr2017",271
"28","industry",265
"29","change",257
"30","report",256
"31","forward",252
"32","power",249
"33","news",247
"34","victims",244
"35","hillary",241
"36","cover",234
"37","telford",232
"38","clinton",230
"39","sex",229
"40","love",226
"41","anthem",216
"42","internationalwomensday",210
"43","sexually",209
"44","campaign",206
"45","day",206
"46","die",199
"47","watch",198
"48","daily",196
"49","guess",195
"50","music",195
"51","post",195
"52","video",193
"53","tells",192
"54","wearing",192
"55","predator",191
"56","hollywood",189
"57","wh",189
"58","tape",184
"59","girls_can_do_anything",182
"60","rape",180
"61","silence",180
"62","read",179
"63","sick",177
"64","generation's",175
"65","denies",173
"66","entertainment",172
"67","heard",172
"68","company",171
"69","play",171
"70","vanjonesshow",170
"71","oscars",169
"72","age",168
"73","movements",168
"74","era",166
"75","admits",165
"76","pays",165
"77","hop",164
"78","jay",164
"79","join",164
"80","wendy",164
"81","media",163
"82","stand",162
"83","al",161
"84","maga",160
"85","hip",159
"86","correct",158
"87","male",158
"88","victim",158
"89","skin",155
"90","country",154
"91","photos",153
"92","violence",153
"93","accused",152
"94","cnn's",149
"95","legend",149
"96","perrform",148
"97","recently",148
"98","uncovered",147
"99","ist",146
"100","shocking",146
"101","ice",145
"102","nicht",145
"103","female",142
"104","feminism",141
"105","williams",140
"106","private",139
"107","von",139
"108","leader",138
"109","abused",137
"110","hey",137
"111","fbi",136
"112","multi",135
"113","women's",133
"114","neveragain",131
"115","bill",129
"116","dollar",129
"117","mountain",129
"118","erupted",128
"119","berichtet",127
"120","billion",126
"121","coming",126
"122","real",126
"123","white",126
"124","literally",125
"125","weinstein",125
"126","president",123
"127","minority",122
"128","scandal",122
