"","id","word","n"
"1","310-1190","post",3
"2","310-1192","boa",3
"3","310-1509","1st",3
"4","310-1509","yrs",3
"5","310-1562","love",3
"6","310-1860","blm",3
"7","310-2502","sexual",3
"8","310-568","america",3
"9","310-569","america",3
"10","310-570","america",3
"11","310-5848","7",3
"12","310-6514","hollywood",3
"13","310-75","women",3
"14","310-7687","iartg",3
"15","310-8063","women",3
"16","310-8351","women",3
"17","310-8451","di",3
"18","310-9053","democrats",3
"19","310-9053","reality",3
"20","310-9053","trump",3
"21","310-1","found",2
"22","310-1010","charmer",2
"23","310-1031","people",2
"24","310-104","women",2
"25","310-105","women",2
"26","310-1111","kobe",2
"27","310-1112","women",2
"28","310-1113","women",2
"29","310-1116","cyprus",2
"30","310-1118","people",2
"31","310-1129","para",2
"32","310-1132","love",2
"33","310-1133","love",2
"34","310-1167","women",2
"35","310-1168","women",2
"36","310-1190","content",2
"37","310-1192","claimed",2
"38","310-1192","person",2
"39","310-1192","rap",2
"40","310-1193","boa",2
"41","310-1194","assault",2
"42","310-1217","women",2
"43","310-1218","women",2
"44","310-1263","women",2
"45","310-1264","women",2
"46","310-1299","women",2
"47","310-1300","women",2
"48","310-1351","women",2
"49","310-1352","women",2
"50","310-1359","people",2
"51","310-1377","assault",2
"52","310-1412","cyprus",2
"53","310-1412","rise",2
"54","310-1413","cyprus",2
"55","310-1413","rise",2
"56","310-1414","cyprus",2
"57","310-1414","rise",2
"58","310-1415","cyprus",2
"59","310-1415","rise",2
"60","310-1463","monica",2
"61","310-1474","women",2
"62","310-1475","women",2
"63","310-1497","cyprus",2
"64","310-1509","film",2
"65","310-1510","1st",2
"66","310-1511","1st",2
"67","310-1515","movimento",2
"68","310-1558","women",2
"69","310-1559","women",2
"70","310-156","women",2
"71","310-1563","love",2
"72","310-157","women",2
"73","310-1613","women",2
"74","310-1614","women",2
"75","310-1770","women",2
"76","310-1771","women",2
"77","310-1846","women",2
"78","310-1847","women",2
"79","310-1860","exist",2
"80","310-1860","reason",2
"81","310-1870","ministes",2
"82","310-1870","sont",2
"83","310-1870","toutes",2
"84","310-1871","ministes",2
"85","310-1871","sont",2
"86","310-1871","toutes",2
"87","310-1872","ministes",2
"88","310-1872","sont",2
"89","310-1872","toutes",2
"90","310-1877","movimento",2
"91","310-1909","women",2
"92","310-1910","women",2
"93","310-1917","women",2
"94","310-1918","women",2
"95","310-198","han",2
"96","310-198","mujeres",2
"97","310-1993","15",2
"98","310-1994","15",2
"99","310-2004","women",2
"100","310-2005","women",2
"101","310-2032","women",2
"102","310-2033","women",2
"103","310-2044","women",2
"104","310-2045","women",2
"105","310-2079","chivalry",2
"106","310-2083","chivalry",2
