"","group","index","negative","positive","sentiment"
"1",1,15,0,2,2
"2",1,21,1,0,-1
"3",2,0,2,0,-2
"4",3,9,1,0,-1
"5",3,14,2,1,-1
"6",4,17,6,3,-3
"7",5,6,3,1,-2
"8",5,16,1,0,-1
"9",5,20,1,0,-1
"10",6,0,1,0,-1
"11",6,1,4,1,-3
"12",6,14,3,13,10
"13",6,21,0,1,1
"14",6,22,1,1,0
"15",7,5,2,1,-1
"16",7,7,1,0,-1
"17",7,15,2,1,-1
"18",8,2,0,2,2
"19",8,3,2,0,-2
"20",8,6,4,2,-2
"21",8,9,3,2,-1
"22",8,11,2,1,-1
"23",8,12,2,2,0
"24",8,13,3,5,2
"25",8,16,1,1,0
"26",8,17,2,8,6
"27",8,18,1,7,6
"28",8,20,0,6,6
"29",8,21,3,1,-2
"30",8,22,1,3,2
"31",9,0,0,1,1
"32",9,1,2,0,-2
"33",9,4,1,0,-1
"34",9,5,3,0,-3
"35",9,7,2,2,0
"36",9,8,3,1,-2
"37",9,9,4,2,-2
"38",9,10,3,1,-2
"39",9,11,2,0,-2
"40",9,12,1,0,-1
"41",9,13,2,0,-2
"42",9,14,0,1,1
"43",9,15,6,9,3
"44",9,16,1,2,1
"45",9,17,0,1,1
"46",9,18,1,3,2
"47",9,20,1,1,0
"48",9,21,3,0,-3
"49",9,22,9,1,-8
"50",9,23,5,1,-4
"51",10,0,8,8,0
"52",10,1,5,1,-4
"53",10,3,11,1,-10
"54",10,5,5,3,-2
"55",10,6,3,2,-1
"56",10,7,5,0,-5
"57",10,8,4,2,-2
"58",10,10,1,0,-1
"59",10,11,0,3,3
"60",10,12,7,1,-6
"61",10,13,1,1,0
"62",10,14,26,49,23
"63",10,15,4,0,-4
"64",10,16,4,7,3
"65",10,17,4,4,0
"66",10,18,5,7,2
"67",10,19,20,8,-12
"68",10,20,3,2,-1
"69",10,21,5,19,14
"70",10,22,4,10,6
"71",10,23,13,3,-10
"72",11,0,11,1,-10
"73",11,1,7,11,4
"74",11,2,682,254,-428
"75",11,3,428,184,-244
"76",12,14,2,0,-2
"77",13,15,1,1,0
"78",15,13,1,1,0
"79",16,0,1,0,-1
"80",16,5,2,0,-2
"81",16,6,1,2,1
"82",16,12,0,1,1
"83",16,15,3,0,-3
"84",16,17,1,0,-1
"85",17,0,1,0,-1
"86",17,1,2,0,-2
"87",17,4,1,1,0
"88",17,10,1,0,-1
"89",17,14,0,1,1
"90",17,17,0,1,1
"91",17,22,3,0,-3
"92",19,2,1,1,0
"93",19,4,0,1,1
"94",19,13,2,1,-1
"95",20,2,0,1,1
"96",20,5,0,1,1
"97",20,6,2,0,-2
"98",20,22,1,1,0
"99",21,6,0,1,1
"100",21,13,1,0,-1
"101",21,20,1,2,1
"102",22,11,0,1,1
"103",22,15,0,1,1
"104",22,18,0,2,2
"105",23,3,1,0,-1
"106",23,16,0,2,2
"107",23,17,0,1,1
"108",23,21,2,2,0
"109",23,22,1,0,-1
"110",24,16,2,1,-1
"111",24,18,1,2,1
"112",24,20,2,1,-1
"113",24,22,0,1,1
"114",24,23,1,1,0
"115",25,3,1,2,1
"116",25,4,1,0,-1
"117",25,5,2,1,-1
"118",25,6,2,0,-2
"119",25,7,2,0,-2
"120",25,9,1,0,-1
"121",25,11,1,0,-1
"122",25,12,1,0,-1
"123",25,16,0,1,1
"124",25,17,1,3,2
"125",25,18,2,2,0
"126",25,19,2,1,-1
"127",25,20,3,1,-2
"128",25,21,2,0,-2
"129",25,23,1,0,-1
"130",26,1,1,0,-1
"131",26,2,1,0,-1
"132",26,3,1,1,0
"133",26,4,3,1,-2
"134",26,5,0,2,2
"135",26,6,0,1,1
