"","topic","term","beta"
"1",1,"post",7.15598283286348e-316
"2",2,"post",2.13424452021354e-317
"3",3,"post",0.00203527306203869
"4",4,"post",4.027129079252e-320
"5",5,"post",9.07615340235764e-317
"6",6,"post",2.47719309109786e-305
"7",1,"boa",1.41967879298044e-277
"8",2,"boa",1.53469017439763e-296
"9",3,"boa",0.00305290959305701
"10",4,"boa",8.50881444322275e-16
"11",5,"boa",1.6645070683992e-268
"12",6,"boa",1.10907100179421e-301
"13",1,"1st",1.18011966406377e-289
"14",2,"1st",0.00221247268906532
"15",3,"1st",0.000339212177006304
"16",4,"1st",0.000568751017385246
"17",5,"1st",2.70444427663487e-290
"18",6,"1st",5.7336654802149e-35
"19",1,"yrs",6.99909916144779e-302
"20",2,"yrs",0.00158033763504654
"21",3,"yrs",4.75904643001189e-303
"22",4,"yrs",2.98241952307096e-306
"23",5,"yrs",1.57540469287679e-303
"24",6,"yrs",0.000617046617742771
"25",1,"love",6.85598847055616e-283
"26",2,"love",5.89319145400851e-84
"27",3,"love",1.19870007775561e-07
"28",4,"love",3.88224765084154e-12
"29",5,"love",0.0194261229447453
"30",6,"love",7.41323618607575e-106
"31",1,"blm",1.49040421615126e-110
"32",2,"blm",0.000632135054018571
"33",3,"blm",0.00101763653101937
"34",4,"blm",3.26396506412496e-304
"35",5,"blm",6.16965636105877e-303
"36",6,"blm",2.59960242195382e-293
"37",1,"sexual",1.23500220602144e-16
"38",2,"sexual",5.12145202389339e-23
"39",3,"sexual",5.9685971171619e-07
"40",4,"sexual",1.6142440507305e-48
"41",5,"sexual",3.21890046547193e-54
"42",6,"sexual",0.126185490467196
"43",1,"america",3.66250397940311e-07
"44",2,"america",0.00347674279710297
"45",3,"america",0.00229872062711664
"46",4,"america",3.46245115705823e-265
"47",5,"america",0.00280224557543593
"48",6,"america",3.55870207081407e-41
"49",1,"7",0.00170287360602041
"50",2,"7",5.50241140518828e-283
"51",3,"7",8.17912694459204e-19
"52",4,"7",4.39772872524405e-47
"53",5,"7",0.000340811287447158
"54",6,"7",3.79292811372323e-284
"55",1,"hollywood",2.24815647853294e-62
"56",2,"hollywood",4.96040750221525e-25
"57",3,"hollywood",0.00363004720671365
"58",4,"hollywood",1.52464392696374e-65
"59",5,"hollywood",0.00044257551267983
"60",6,"hollywood",2.20407077606634e-24
"61",1,"women",9.55904411159681e-15
"62",2,"women",0.0366204746700635
"63",3,"women",0.019382526142118
"64",4,"women",1.28204220878676e-20
"65",5,"women",1.88572419349382e-22
"66",6,"women",0.118163610010233
"67",1,"iartg",2.37415736311194e-317
"68",2,"iartg",2.14592472614687e-319
"69",3,"iartg",8.57505275578526e-319
"70",4,"iartg",8.16196446929739e-321
"71",5,"iartg",0.0132916402104444
"72",6,"iartg",5.85052775179371e-319
"73",1,"di",4.23690307022412e-301
"74",2,"di",0.000316067527009206
"75",3,"di",1.32235479823882e-300
"76",4,"di",1.16065718154434e-304
"77",5,"di",0.00170405643723654
"78",6,"di",0.000925569926614251
"79",1,"democrats",0.00204344832722433
