"","id","tweet","date","origtweet"
"1","131-1","Ruth Bader Ginsburg talks movement, shares her stories: It's about time via",2018-01-23 16:15:00,"Ruth Bader Ginsburg talks #MeToo movement, shares her stories: ""It's about time"" https://t.co/G94Dgva3mG via @HuffPostPol"
"2","131-2","Democratic women will wear black to the State of the Union to show support for via",2018-01-30 20:57:00,"Democratic women will wear black to the State of the Union to show support for #MeToo https://t.co/np9qalR9ic via @voxdotcom"
"3","131-3","SNL tackles , but what should you do when employees discuss at work? #TheEmployerHandbook via",2018-01-30 17:17:00,"SNL tackles #MeToo, but what should you do when employees discuss #MeToo at work? https://t.co/pGyFg73vGy #TheEmployerHandbook via @jonhyman"
"4","131-4","The latest Olori Supergal #News #Africa! Thanks to #grammys",2018-01-27 04:23:00,"The latest Olori Supergal #News #Africa! https://t.co/FQExazz7WS Thanks to @BabaOloriokoBB @VoicingNG @amazingklef #metoo #grammys"
"5","131-5","The latest Olori Supergal #News #Africa! Thanks to #grammys",2018-01-27 04:23:00,"The latest Olori Supergal #News #Africa! https://t.co/FQExazz7WS Thanks to @BabaOloriokoBB @VoicingNG @amazingklef #metoo #grammys"
"6","131-6","The latest Olori Supergal #News #Africa! Thanks to #grammys",2018-01-27 04:23:00,"The latest Olori Supergal #News #Africa! https://t.co/FQExazz7WS Thanks to @BabaOloriokoBB @VoicingNG @amazingklef #metoo #grammys"
"7","131-7","Hey I heard your speech at the World Economic Forum. You spoke about the movement and protecting womï¿½",2018-01-27 04:23:00,"RT @Imamofpeace: Hey @JustinTrudeau I heard your speech at the World Economic Forum. You spoke about the #metoo movement and protecting wom…"
"8","131-8","Hey I heard your speech at the World Economic Forum. You spoke about the movement and protecting womï¿½",2018-01-27 04:23:00,"RT @Imamofpeace: Hey @JustinTrudeau I heard your speech at the World Economic Forum. You spoke about the #metoo movement and protecting wom…"
"9","131-9","When the movement exploded in October and the film academy revoked Harvey Weinstein's membership, the spotlight turnedï¿½",2018-01-27 04:23:00,"RT @NBCNews: When the #MeToo movement exploded in October and the film academy revoked Harvey Weinstein's membership, the spotlight turned…"
"10","131-10","When the movement exploded in October and the film academy revoked Harvey Weinstein's membership, the spotlight turnedï¿½",2018-01-27 04:23:00,"RT @NBCNews: When the #MeToo movement exploded in October and the film academy revoked Harvey Weinstein's membership, the spotlight turned…"
"11","131-11","Fraud Paul Ryan pretends to cares abt all while letting (R-PA) Pat Meeham (R-TX) Blake Farenthold reï¿½",2018-01-27 04:23:00,"RT @coton_luver: @SpeakerRyan Fraud Paul Ryan pretends to cares abt #MeToo all while letting (R-PA) Pat Meeham &amp; (R-TX) Blake Farenthold re…"
"12","131-12","Fraud Paul Ryan pretends to cares abt all while letting (R-PA) Pat Meeham (R-TX) Blake Farenthold reï¿½",2018-01-27 04:23:00,"RT @coton_luver: @SpeakerRyan Fraud Paul Ryan pretends to cares abt #MeToo all while letting (R-PA) Pat Meeham &amp; (R-TX) Blake Farenthold re…"
"13","131-13","Sexual assault on airplanes is way too common, and could change that",2018-01-27 04:23:00,"RT @Salon: Sexual assault on airplanes is way too common, and #MeToo could change that https://t.co/Mg5MBshi0Q https://t.co/U7qBZ02XQS"
"14","131-14","The bigger problem is that before far too many ppl probably had no idea that sexual abuse was so widespreï¿½",2018-01-27 04:24:00,"...The bigger problem is that before #MeToo far too many ppl probably had no idea that sexual abuse was so widespre… https://t.co/eJ50zSHCoQ"
"15","131-15","#ActivistBitches Well this is awkward Hillary",2018-01-27 04:24:00,"RT @alaskantexanQCT: @AlexMohajer @HillaryClinton #ActivistBitches?? Well this is awkward Hillary.... #MeToo https://t.co/rXx2iqqd5b"
"16","131-16","#ActivistBitches Well this is awkward Hillary",2018-01-27 04:24:00,"RT @alaskantexanQCT: @AlexMohajer @HillaryClinton #ActivistBitches?? Well this is awkward Hillary.... #MeToo https://t.co/rXx2iqqd5b"
"17","131-17","#ActivistBitches Well this is awkward Hillary",2018-01-27 04:24:00,"RT @alaskantexanQCT: @AlexMohajer @HillaryClinton #ActivistBitches?? Well this is awkward Hillary.... #MeToo https://t.co/rXx2iqqd5b"
"18","131-18","When the movement exploded in October and the film academy revoked Harvey Weinstein's membership, the spotlight turnedï¿½",2018-01-27 04:24:00,"RT @NBCNews: When the #MeToo movement exploded in October and the film academy revoked Harvey Weinstein's membership, the spotlight turned…"
"19","131-19","#HillaryClinton IS THE MOST DISGUSTING PERSON IN THE WORLD!! ABOUT THAT STORY SHE'S SPINNING, I COULï¿½",2018-01-27 04:24:00,"@NBCPolitics #HillaryClinton??  IS THE MOST DISGUSTING PERSON IN THE WORLD!! ABOUT THAT STORY SHE'S SPINNING, I COUL… https://t.co/uTERHJ1Oib"
"20","131-20","When the movement exploded in October and the film academy revoked Harvey Weinstein's membership, the spotlight turnedï¿½",2018-01-27 04:24:00,"RT @NBCNews: When the #MeToo movement exploded in October and the film academy revoked Harvey Weinstein's membership, the spotlight turned…"
"21","131-21","Come clean Steve Wynn! Your dirty little secrets are now out in the open! has come knocking anï¿½",2018-01-26 19:07:00,"@WynnLasVegas Come clean Steve Wynn! Your dirty little secrets are now out in the open! #MeToo has come knocking an… https://t.co/imCDA5nxTJ"
"22","131-22","Come clean Steve Wynn! Your dirty little secrets are now out in the open! has come knocking and youï¿½",2018-01-27 04:24:00,"RT @ResetTheTimer: @WynnLasVegas Come clean Steve Wynn! Your dirty little secrets are now out in the open! #MeToo has come knocking and you…"
"23","131-23","Come clean Steve Wynn! Your dirty little secrets are now out in the open! has come knocking and youï¿½",2018-01-27 04:24:00,"RT @ResetTheTimer: @WynnLasVegas Come clean Steve Wynn! Your dirty little secrets are now out in the open! #MeToo has come knocking and you…"
"24","131-24","Hey I heard your speech at the World Economic Forum. You spoke about the movement and protecting womï¿½",2018-01-27 04:24:00,"RT @Imamofpeace: Hey @JustinTrudeau I heard your speech at the World Economic Forum. You spoke about the #metoo movement and protecting wom…"
"25","131-25","Hey I heard your speech at the World Economic Forum. You spoke about the movement and protecting womï¿½",2018-01-27 04:24:00,"RT @Imamofpeace: Hey @JustinTrudeau I heard your speech at the World Economic Forum. You spoke about the #metoo movement and protecting wom…"
"26","131-26","I am becoming more aware of my voice i am inspired to write my story. It has beenï¿½",2018-01-27 04:24:00,"@HillaryClinton I am becoming more aware of my voice.....#metoo i am inspired to write my METOO story. It has been… https://t.co/tvu9TIkvap"
