"","id","word","n"
"1","131-1045","ni",4
"2","131-1046","ni",4
"3","131-1323","ni",4
"4","131-1324","ni",4
"5","131-147","ni",4
"6","131-148","ni",4
"7","131-163","clinton",4
"8","131-1638","ni",4
"9","131-1639","ni",4
"10","131-2790","ni",4
"11","131-2791","ni",4
"12","131-2792","ni",4
"13","131-2844","haiti",4
"14","131-5854","clinton",4
"15","131-5855","clinton",4
"16","131-7496","ba",4
"17","131-7497","ba",4
"18","131-7498","ba",4
"19","131-7499","ba",4
"20","131-7568","soy",4
"21","131-784","ni",4
"22","131-785","ni",4
"23","310-2502","clinton",4
"24","131-1195","clinton",3
"25","131-1539","clinton",3
"26","131-1560","clinton",3
"27","131-1585","clinton",3
"28","131-1617","clinton",3
"29","131-1744","clinton",3
"30","131-1759","clinton",3
"31","131-1809","clinton",3
"32","131-1968","women",3
"33","131-2085","blm",3
"34","131-2332","clinton",3
"35","131-2507","van",3
"36","131-2843","haiti",3
"37","131-3108","blog",3
"38","131-3109","blog",3
"39","131-3215","die",3
"40","131-3227","die",3
"41","131-3337","een",3
"42","131-347","clinton",3
"43","131-3884","clinton",3
"44","131-3943","clinton",3
"45","131-4226","ik",3
"46","131-4227","ik",3
"47","131-4234","dnc",3
"48","131-4672","clinton",3
"49","131-4936","clinton",3
"50","131-4937","clinton",3
"51","131-5127","clinton",3
"52","131-5134","clinton",3
"53","131-5171","clinton",3
"54","131-5196","clinton",3
"55","131-5197","clinton",3
"56","131-5551","der",3
"57","131-5552","der",3
"58","131-5553","der",3
"59","131-5554","der",3
"60","131-5555","der",3
"61","131-6050","clinton",3
"62","131-6184","clinton",3
"63","131-6799","clinton",3
"64","131-6843","clinton",3
"65","131-6999","clinton",3
"66","131-7000","clinton",3
"67","131-7037","clinton",3
"68","131-7038","clinton",3
"69","131-7744","isn",3
"70","131-833","clinton",3
"71","310-1190","post",3
"72","310-1192","boa",3
"73","310-1509","1st",3
"74","310-1509","yrs",3
"75","310-1562","love",3
"76","310-1860","blm",3
"77","310-2954","clinton",3
"78","310-568","america",3
"79","310-569","america",3
"80","310-570","america",3
"81","310-5848","7",3
"82","310-6514","hollywood",3
"83","310-75","women",3
"84","310-7687","iartg",3
"85","310-8063","women",3
"86","310-8351","women",3
"87","310-8451","di",3
"88","310-9053","democrats",3
"89","310-9053","reality",3
"90","310-9053","trump",3
"91","131-1037","idea",2
"92","131-1055","wendy",2
"93","131-1055","williams",2
"94","131-1085","clinton",2
"95","131-1093","trump",2
"96","131-1114","er",2
"97","131-1149","clinton",2
