"","word","n"
"1","women",1163
"2","movement",1009
"3","sexual",827
"4","timesup",637
"5","de",511
"6","14_",469
"7","en",366
"8","assault",365
"9","sistar",361
"10","withyou",348
"11","rt",339
"12","world",339
"13","2",335
"14","gt",335
"15","harassment",334
"16","korea's",325
"17","girls",323
"18","la",316
"19","vcr2017",271
"20","1",254
"21","el",245
"22","9",231
"23","monica",231
"24","2017",226
"25","lewinsky",218
"26","12",216
"27","forward",208
"28","anthem",205
"29","internationalwomensday",205
"30","lt",204
"31","woman",203
"32","people",183
"33","girls_can_do_anything",179
"34","wh",177
"35","tape",176
"36","story",172
"37","generation's",171
"38","campaign",168
"39","admits",165
"40","denies",164
"41","pays",164
"42","love",161
"43","trump",153
"44","skin",150
"45","industry",148
"46","day",147
"47","entertainment",145
"48","2017_",139
"49","recently",137
"50","shocking",136
"51","change",134
"52","3",132
"53","se",132
"54","fbi",130
"55","time",129
"56","erupted",128
"57","ice",128
"58","mountain",128
"59","sex",119
"60","oscars",118
"61","neveragain",117
"62","country",113
"63","support",111
"64","10",109
"65","11",107
"66","iwd2018",107
"67","una",107
"68","snsd",105
"69","5",104
"70","del",103
"71","abuse",101
"72","moment",101
"73","maga",99
"74","victims",99
"75","es",98
"76","lgbt",98
"77","clinton",97
"78","uni",97
"79","era",95
"80","ewha",94
"81","itnw",94
"82","news",94
"83","read",94
"84","house",93
"85","join",93
"86","hollywood",92
"87","literally",91
"88","speak",87
"89","strength",87
"90","movimiento",86
"91","por",86
"92","retweet",86
"93","https",85
"94","weinstein",85
"95","age",84
"96","contact",83
"97","idol",83
"98","le",83
"99","power",83
"100","accused",81
"101","rape",80
"102","2018",78
"103","sexually",78
"104","women's",78
"105","media",76
"106","absolute",75
"107","felony",75
"108","violence",75
"109","male",74
"110","international",73
"111","ladies",73
"112","ptsd",72
"113","essay",71
"114","las",71
"115","mueller",71
"116","video",71
"117","con",70
"118","korea",70
"119","south",69
"120","stand",69
"121","2_",68
"122","8",68
"123","bill",68
"124","comey",67
"125","female",67
"126","truth",67
"127","andrewmccabe",66
"128","assaulted",66
"129","fbicorruption",66
"130","para",66
"131","silence",66
"132","book",65
"133","school",65
"134","shared",65
"135","les",64
"136","rrbc",61
"137","sexabusescandalrecap:as",61
"138","share",61
"139","survivors",61
"140","talk",61
"141","happy",60
"142","watch",60
"143","womensday",60
"144","move",59
"145","court",58
"146","dont",58
"147","justice",58
"148","28",57
"149","remember",57
"150","die",56
"151","law",56
"152","represent",56
"153","sns_",56
"154","week",56
"155","wetoo",56
"156","heard",55
"157","meto",55
"158","report",55
"159","rights",55
"160","usa",55
"161","display",54
"162","film",54
"163","founder",54
"164","sin",54
"165","sobre",54
"166","stop",54
"167","18",53
"168","emerging",53
"169","gaslight",53
"170","thinking",53
"171","17",52
"172","call",52
"173","feminist",52
"174","internationalwomensdaythese",52
"175","public",52
"176","conversation",51
"177","marchforourlives",51
"178","workplace",51
"179","19",50
"180","25",50
"181","b1a4",50
"182","13,615",49
"183","598",49
"184","naver",49
"185","powerful",49
"186","accusers",48
"187","don",48
"188","feminism",48
"189","hey",48
"190","sur",48
"191","tv",48
"192","f4",47
"193","free",47
"194","knowle",47
"195","sexualassault",47
"196","interview",46
"197","issue",46
"198","lawyers",46
"199","los",46
"200","march",46
"201","movements",46
"202","6",45
"203","korean",45
"204","blacklivesmatter",44
"205","dating",44
"206","history",44
"207","post",44
"208","question",44
"209","100",43
"210","1st",43
"211","cair",43
"212","cosby",43
"213","hosted",43
