"","topic","term","beta"
"1",1,"de",1.93526545288374e-86
"2",2,"de",4.15855584389985e-33
"3",3,"de",1.02122199586491e-57
"4",4,"de",1.75246103315136e-20
"5",5,"de",4.2853495749868e-135
"6",6,"de",2.55220915543286e-51
"7",7,"de",1.30364785356589e-86
"8",8,"de",2.55531573694646e-59
"9",9,"de",0.0612908810779128
"10",10,"de",2.32241791688846e-06
"11",1,"en",1.32266841092465e-89
"12",2,"en",7.96738319384652e-56
"13",3,"en",2.13143221742085e-74
"14",4,"en",2.00209516099137e-08
"15",5,"en",6.8995269221455e-78
"16",6,"en",5.53830823970469e-23
"17",7,"en",5.4092675374023e-127
"18",8,"en",1.6838352317752e-42
"19",9,"en",0.0439004441897319
"20",10,"en",5.17664486197318e-20
"21",1,"la",9.78457020999656e-88
"22",2,"la",6.12638990929192e-30
"23",3,"la",1.79855529585734e-49
"24",4,"la",4.45908684951835e-72
"25",5,"la",6.98875555107621e-154
"26",6,"la",1.20410526262757e-100
"27",7,"la",1.41249263492954e-54
"28",8,"la",8.79229190374097e-129
"29",9,"la",0.0379031276504449
"30",10,"la",2.94787390007852e-21
"31",1,"el",1.78829006422992e-102
"32",2,"el",4.77882607489388e-31
"33",3,"el",1.10381470392043e-85
"34",4,"el",4.95408079620936e-116
"35",5,"el",5.23822217967734e-78
"36",6,"el",1.98411954463383e-77
"37",7,"el",1.35276773055832e-91
"38",8,"el",8.32105178932902e-136
"39",9,"el",0.0293869185897437
"40",10,"el",1.82284577275964e-88
"41",1,"ein",3.33610168043807e-104
"42",2,"ein",1.06303220122423e-103
"43",3,"ein",2.1434564970259e-104
"44",4,"ein",0.00435513054880387
"45",5,"ein",3.16283112694389e-104
"46",6,"ein",3.49940589592287e-104
"47",7,"ein",3.64445819833195e-104
"48",8,"ein",4.13206551660026e-104
"49",9,"ein",5.95893978686431e-123
"50",10,"ein",4.71615221967163e-104
"51",1,"terrorists",5.51942840926709e-104
"52",2,"terrorists",6.60689633404634e-92
"53",3,"terrorists",3.54605385325937e-104
"54",4,"terrorists",0.00435513054880387
"55",5,"terrorists",2.5036806888195e-92
"56",6,"terrorists",5.78928756461725e-104
"57",7,"terrorists",2.80404005327698e-92
"58",8,"terrorists",2.19676308106857e-151
"59",9,"terrorists",2.3978781433332e-104
"60",10,"terrorists",3.44522994053278e-92
"61",1,"es",2.90078212977633e-79
"62",2,"es",1.01585670165767e-17
"63",3,"es",5.58168451780304e-71
"64",4,"es",0.00281710549139161
"65",5,"es",2.81598230715005e-79
"66",6,"es",3.85915256592306e-140
"67",7,"es",3.72007597602084e-44
"68",8,"es",1.20059241455746e-118
"69",9,"es",0.00981508824587833
"70",10,"es",9.18393621640606e-17
"71",1,"speak",7.20267079126924e-59
"72",2,"speak",4.61010316866619e-12
"73",3,"speak",2.28605846243622e-21
"74",4,"speak",4.99895679367636e-10
"75",5,"speak",0.0121948993661286
