"","id","word","n"
"1","306-1175","de",7
"2","308-1423","en",6
"3","308-1498","la",6
"4","308-1555","en",6
"5","226-2200","de",5
"6","226-2201","de",5
"7","306-1593","el",5
"8","306-1593","la",5
"9","306-961","ein",5
"10","308-1963","terrorists",5
"11","308-2056","es",5
"12","308-894","de",5
"13","226-1361","la",4
"14","226-1362","la",4
"15","226-1363","la",4
"16","226-1364","la",4
"17","226-1365","la",4
"18","226-1457","speak",4
"19","226-1665","en",4
"20","306-1215","en",4
"21","306-1216","en",4
"22","306-611","la",4
"23","306-800","de",4
"24","308-1292","women",4
"25","308-1499","la",4
"26","308-1771","att",4
"27","308-2084","de",4
"28","308-2084","la",4
"29","308-2085","la",4
"30","308-2151","de",4
"31","308-546","es",4
"32","308-547","es",4
"33","308-548","es",4
"34","308-549","es",4
"35","308-550","es",4
"36","308-551","es",4
"37","308-552","es",4
"38","308-816","ikkje",4
"39","310-8448","la",4
"40","310-8452","la",4
"41","226-1048","de",3
"42","226-1077","de",3
"43","226-1118","de",3
"44","226-1241","de",3
"45","226-1352","je",3
"46","226-1352","te",3
"47","226-1352","vais",3
"48","226-1367","de",3
"49","226-1430","de",3
"50","226-1473","male",3
"51","226-1474","male",3
"52","226-1509","la",3
"53","226-1510","la",3
"54","226-1516","de",3
"55","226-1591","de",3
"56","226-1612","de",3
"57","226-1635","male",3
"58","226-1636","male",3
"59","226-1682","de",3
"60","226-1785","male",3
"61","226-1786","male",3
"62","226-1793","de",3
"63","226-1850","male",3
"64","226-1851","male",3
"65","226-1852","male",3
"66","226-1990","de",3
"67","226-2052","change",3
"68","226-2073","de",3
"69","226-2086","de",3
"70","226-2091","bad",3
"71","226-2116","de",3
"72","226-2176","de",3
"73","226-2251","de",3
"74","226-2408","de",3
"75","226-2409","de",3
"76","226-2461","de",3
"77","226-2462","de",3
"78","226-2463","de",3
"79","226-336","del",3
"80","226-370","male",3
"81","226-371","male",3
"82","226-445","es",3
"83","226-511","twba",3
"84","226-728","read",3
"85","226-778","de",3
"86","226-789","de",3
"87","226-805","de",3
"88","226-846","de",3
"89","226-854","rden",3
"90","226-863","de",3
"91","226-935","se",3
"92","226-936","se",3
"93","226-937","se",3
"94","226-970","lo",3
"95","306-1009","women",3
"96","306-1012","women",3
"97","306-1013","women",3
"98","306-1027","de",3
"99","306-1027","el",3
"100","306-1028","de",3
"101","306-1028","el",3
"102","306-1175","el",3
"103","306-1175","las",3
"104","306-1215","la",3
"105","306-1216","la",3
"106","306-13","dat",3
"107","306-1302","ein",3
"108","306-1390","el",3
"109","306-1475","1st",3
"110","306-1475","yrs",3
"111","306-1535","sex",3
"112","306-1561","de",3
"113","306-1561","des",3
"114","306-1593","las",3
"115","306-1594","el",3
"116","306-1594","la",3
"117","306-238","de",3
"118","306-262","de",3
"119","306-27","vote",3
"120","306-36","el",3
"121","306-36","en",3
"122","306-36","por",3
"123","306-502","women",3
"124","306-516","du",3
"125","306-517","du",3
"126","306-52","women",3
"127","306-554","withyou",3
"128","306-594","ein",3
"129","306-722","movement",3
"130","306-744","fight",3
"131","306-77","la",3
"132","306-77","le",3
"133","306-800","han",3
"134","306-801","de",3
"135","306-808","em",3
"136","306-809","em",3
"137","306-810","em",3
"138","306-811","em",3
"139","306-812","em",3
"140","306-813","em",3
"141","306-814","em",3
"142","306-815","em",3
"143","306-816","em",3
"144","306-817","em",3
"145","306-819","em",3
"146","306-961","und",3
"147","306-962","ein",3
"148","308-1352","en",3
"149","308-1352","las",3
"150","308-1423","la",3
"151","308-1498","en",3
"152","308-1555","la",3
"153","308-1556","en",3
"154","308-1557","en",3
"155","308-1561","en",3
"156","308-1602","le",3
"157","308-1603","le",3
"158","308-1609","garbage",3
"159","308-1636","women",3
"160","308-1640","le",3
"161","308-1641","le",3
"162","308-1642","le",3
"163","308-1658","en",3
"164","308-1756","de",3
"165","308-1756","en",3
"166","308-1758","en",3
"167","308-1771","och",3
"168","308-1776","venitadam",3
"169","308-1826","en",3
"170","308-1840","en",3
"171","308-1946","kids",3
"172","308-1963","cair",3
"173","308-1963","hamas",3
"174","308-2001","en",3
"175","308-2014","en",3
"176","308-2049","em",3
"177","308-2049","movimento",3
"178","308-2056","el",3
"179","308-2085","de",3
"180","308-2146","en",3
"181","308-2155","love",3
"182","308-2174","rights",3
"183","308-2186","en",3
"184","308-2212","ceo",3
"185","308-2231","health",3
"186","308-2232","health",3
"187","308-229","witch",3
"188","308-230","witch",3
"189","308-333","brilliant",3
"190","308-334","brilliant",3
"191","308-40","de",3
"192","308-40","parole",3
"193","308-71","de",3
"194","308-71","las",3
"195","308-72","de",3
"196","308-72","las",3
"197","308-816","noko",3
"198","308-817","ikkje",3
"199","310-1190","post",3
"200","310-1192","boa",3
"201","310-1460","de",3
"202","310-1460","el",3
"203","310-1461","de",3
"204","310-1461","el",3
"205","310-1509","1st",3
"206","310-1509","yrs",3
"207","310-1562","love",3
"208","310-1860","blm",3
"209","310-1870","de",3
"210","310-1871","de",3
"211","310-1872","de",3
"212","310-2502","sexual",3
"213","310-418","de",3
"214","310-4330","de",3
"215","310-568","america",3
"216","310-569","america",3
"217","310-570","america",3
"218","310-5848","7",3
"219","310-6514","hollywood",3
"220","310-69","el",3
"221","310-75","women",3
"222","310-7687","iartg",3
"223","310-8063","women",3
"224","310-8250","de",3
"225","310-8277","en",3
"226","310-8351","women",3
"227","310-8449","la",3
"228","310-8451","di",3
"229","310-9053","democrats",3
"230","310-9053","reality",3
"231","310-9053","trump",3
"232","226-1013","deleteuber",2
"233","226-1016","deleteuber",2
"234","226-1048","la",2
"235","226-1055","silence",2
"236","226-1075","laughed",2
"237","226-1077","en",2
"238","226-1077","una",2
"239","226-1090","consensual",2
"240","226-1098","es",2
"241","226-1104","consent",2
"242","226-1114","tym",2
"243","226-1118","en",2
"244","226-1118","una",2
"245","226-1141","conozco",2
"246","226-1141","lo",2
"247","226-1142","conozco",2
"248","226-1142","lo",2
"249","226-1143","conozco",2
"250","226-1143","lo",2
"251","226-1145","assaults",2
"252","226-1145","inappropriate",2
"253","226-1145","sexual",2
"254","226-1146","assaults",2
"255","226-1146","inappropriate",2
"256","226-1146","sexual",2
"257","226-1157","die",2
"258","226-1160","people",2
"259","226-1162","wetoo",2
"260","226-1177","daughter",2
"261","226-1186","wetoo",2
"262","226-1213","anita",2
"263","226-1213","harassment",2
"264","226-1213","sexual",2
"265","226-1214","anita",2
"266","226-1220","dystopias",2
"267","226-1220","feminist",2
"268","226-1221","die",2
"269","226-1241","en",2
"270","226-1241","una",2
"271","226-1252","tmz",2
