id,tweet,date
226-1,"Where has #metoo left the art of seduction? @AgnesCPoirier offers a French perspective, on this month's LNWH with @laurenlaverne @BBCWomansHour  https://t.co/TxtdCkkW5A https://t.co/qN3Ixnl4TO",2/26/2018 17:05
226-2,"Writers respond to the #MeToo movement. Our #PENtownhall featuring @collier, @rebel19, @mashagessen, @wesyang, @Egangoonsquad, &amp; @SuzanneNossel. 2/28. https://t.co/8Z4nSAja3s",2/26/2018 14:15
226-3,"Writers respond to the #MeToo movement. Our #PENtownhall featuring @collier, @rebel19, @mashagessen, @wesyang, @Egangoonsquad, &amp; @SuzanneNossel. 2/28. https://t.co/8Z4nSAja3s",2/26/2018 14:15
226-4,"From #MeToo to domestic abuse and infanticide, the horrors women and girls face around the world are overwhelming, but the Church cannot turn away. @madamspeaker
@ivpacademic @ElaineStorkey 
https://t.co/tG0XxfqkeM",2/26/2018 13:59
226-5,"From #MeToo to domestic abuse and infanticide, the horrors women and girls face around the world are overwhelming, but the Church cannot turn away. @madamspeaker
@ivpacademic @ElaineStorkey 
https://t.co/tG0XxfqkeM",2/26/2018 13:59
226-6,"He who shapes the story creates 'the truth'. But #MeToo #Timesup rise in decibel level provides resonance for women?s narratives: @MonicaLewinsky in @VanityFair notes importance of @george lakoff #framing. 
Important stuff for understanding complexities + context (w' compassion) https://t.co/CH8w21AC3I",2/26/2018 17:48
226-7,What #MeToo shows about the value of being #TypeR &amp; #TransformativeResilience. Inspiring story abt. #MeTooNatSec from @wendyranderson https://t.co/JMtW1ej86o @Slate @BetterLifeLab @public_affairs @HachetteUS @wtrmrk,2/26/2018 16:47
226-8,What #MeToo shows about the value of being #TypeR &amp; #TransformativeResilience. Inspiring story abt. #MeTooNatSec from @wendyranderson https://t.co/JMtW1ej86o @Slate @BetterLifeLab @public_affairs @HachetteUS @wtrmrk,2/26/2018 16:47
226-9,What #MeToo shows about the value of being #TypeR &amp; #TransformativeResilience. Inspiring story abt. #MeTooNatSec from @wendyranderson https://t.co/JMtW1ej86o @Slate @BetterLifeLab @public_affairs @HachetteUS @wtrmrk,2/26/2018 16:47
226-10,What #MeToo shows about the value of being #TypeR &amp; #TransformativeResilience. Inspiring story abt. #MeTooNatSec from @wendyranderson https://t.co/JMtW1ej86o @Slate @BetterLifeLab @public_affairs @HachetteUS @wtrmrk,2/26/2018 16:47
226-11,"#MeToo, a poetry anthology by and for women, will be released on 8th March. Ahead of its publication, poet Deborah Alma (@emergencypoet) talks about the book?s origins. https://t.co/FNxEPO1yjb",2/26/2018 11:05
226-12,"Seattle people: Don't click on the reactionary hot takes about consent and #MeToo. Instead, come have a drink with me, @KCSARC, and @seattletimes reporter @pgcornwell tomorrow night while we break down fact from fiction. https://t.co/lRGVRAxS14",2/26/2018 19:19
226-13,"Seattle people: Don't click on the reactionary hot takes about consent and #MeToo. Instead, come have a drink with me, @KCSARC, and @seattletimes reporter @pgcornwell tomorrow night while we break down fact from fiction. https://t.co/lRGVRAxS14",2/26/2018 19:19
226-14,"Seattle people: Don't click on the reactionary hot takes about consent and #MeToo. Instead, come have a drink with me, @KCSARC, and @seattletimes reporter @pgcornwell tomorrow night while we break down fact from fiction. https://t.co/lRGVRAxS14",2/26/2018 19:19
226-15,"Maureen O? Hara lives on in the #MeToo #TimesUp movement. The struggles she faced can be seen in ?Queen of Technicolor?, a play that reveals the person behind the icon. Thank you @DeirdreOKane1 @IFTA for remembering this truly brilliant person #maueenohara #queenoftechnicolor https://t.co/x1TEMqUXH3",2/22/2018 17:14
226-16,"Maureen O? Hara lives on in the #MeToo #TimesUp movement. The struggles she faced can be seen in ?Queen of Technicolor?, a play that reveals the person behind the icon. Thank you @DeirdreOKane1 @IFTA for remembering this truly brilliant person #maueenohara #queenoftechnicolor https://t.co/x1TEMqUXH3",2/22/2018 17:14
226-17,"Ach sieh mal einer an: Bei meiner Recherche zum #Kinderkanal und der Veruntreuung von GebÅhren sowie #metoo-Problemen stî·t man auf ""Korruption und krumme GeschÑfte"" beim @MDR. Man muss diesen Sumpf endlich trocken legen. #MDR https://t.co/NKep3gM4iV",2/26/2018 11:29
226-18,"#deleteuber #DeleteUber #MeToo #Metoomovement #metoo #MeTooUber 
@loosewomen @WomensHealthMag @WomAgainstUber @womensmarch @UN_Women @WEP_UK @womenshealth @BBCWomansHour @WOMAN @TheSingleWoman @WomansDay #WomensSixNations #womaninbiz https://t.co/Fxkk3sr3JA",2/26/2018 15:00
226-19,"#deleteuber #DeleteUber #MeToo #Metoomovement #metoo #MeTooUber 
@loosewomen @WomensHealthMag @WomAgainstUber @womensmarch @UN_Women @WEP_UK @womenshealth @BBCWomansHour @WOMAN @TheSingleWoman @WomansDay #WomensSixNations #womaninbiz https://t.co/Fxkk3sr3JA",2/26/2018 15:00
226-20,"#deleteuber #DeleteUber #MeToo #Metoomovement #metoo #MeTooUber 
@loosewomen @WomensHealthMag @WomAgainstUber @womensmarch @UN_Women @WEP_UK @womenshealth @BBCWomansHour @WOMAN @TheSingleWoman @WomansDay #WomensSixNations #womaninbiz https://t.co/Fxkk3sr3JA",2/26/2018 15:00
226-21,"#deleteuber #DeleteUber #MeToo #Metoomovement #metoo #MeTooUber 
@loosewomen @WomensHealthMag @WomAgainstUber @womensmarch @UN_Women @WEP_UK @womenshealth @BBCWomansHour @WOMAN @TheSingleWoman @WomansDay #WomensSixNations #womaninbiz https://t.co/Fxkk3sr3JA",2/26/2018 15:00
226-22,"#deleteuber #DeleteUber #MeToo #Metoomovement #metoo #MeTooUber 
@loosewomen @WomensHealthMag @WomAgainstUber @womensmarch @UN_Women @WEP_UK @womenshealth @BBCWomansHour @WOMAN @TheSingleWoman @WomansDay #WomensSixNations #womaninbiz https://t.co/Fxkk3sr3JA",2/26/2018 15:00
226-23,"Does #MeToo change #Japan?
#MeToo ? #?? ?????????????????????? #?????#??????#?????#??? ????????????????????????????????? #???? ????????????????@ouenshiori
https://t.co/CQ8LINiN60",1/8/2018 2:05
226-24,@TwitchyTeam 2 women who refuse to become  #Victims of any kind! #MeToo #NRA #2A #StudentsStandUp but these women stood up so they wouldn't be victims. #CloserNation #GunFreeZonesKill #Parkland #ParklandStudentsSpeak #ParklandShooting #FloridaSchoolShooti,2/25/2018 13:43
226-25,Drìle de monde #MeToo ou #BalanceTonPorc dans lequel une cagnotte pour un prÇsumÇ multi-violeur atteint des sommets alors que les nombreuses victimes prÇsumÇes restent seules... #Ramadan @Henda_Ayari @JSuisChristelle #FreeRaif https://t.co/5plxWFd7Q8,2/25/2018 10:37
226-26,Drìle de monde #MeToo ou #BalanceTonPorc dans lequel une cagnotte pour un prÇsumÇ multi-violeur atteint des sommets alors que les nombreuses victimes prÇsumÇes restent seules... #Ramadan @Henda_Ayari @JSuisChristelle #FreeRaif https://t.co/5plxWFd7Q8,2/25/2018 10:37
226-27,@NewYorker #SexualPredatorInChief beginnings...#MeToo @realDonaldTrump @IvankaTrump @jaredkushner @SenatorCollins @LindseyGrahamSC @SpeakerRyan @GrassleyPress @lisamurkowski @clairecmc @SpeakerRyan https://t.co/zoeRvm35vb,2/21/2018 19:17
226-28,@NewYorker #SexualPredatorInChief beginnings...#MeToo @realDonaldTrump @IvankaTrump @jaredkushner @SenatorCollins @LindseyGrahamSC @SpeakerRyan @GrassleyPress @lisamurkowski @clairecmc @SpeakerRyan https://t.co/zoeRvm35vb,2/21/2018 19:17
226-29,@NewYorker #SexualPredatorInChief beginnings...#MeToo @realDonaldTrump @IvankaTrump @jaredkushner @SenatorCollins @LindseyGrahamSC @SpeakerRyan @GrassleyPress @lisamurkowski @clairecmc @SpeakerRyan https://t.co/zoeRvm35vb,2/21/2018 19:17
226-30,@NewYorker #SexualPredatorInChief beginnings...#MeToo @realDonaldTrump @IvankaTrump @jaredkushner @SenatorCollins @LindseyGrahamSC @SpeakerRyan @GrassleyPress @lisamurkowski @clairecmc @SpeakerRyan https://t.co/zoeRvm35vb,2/21/2018 19:17
226-31,@NewYorker #SexualPredatorInChief beginnings...#MeToo @realDonaldTrump @IvankaTrump @jaredkushner @SenatorCollins @LindseyGrahamSC @SpeakerRyan @GrassleyPress @lisamurkowski @clairecmc @SpeakerRyan https://t.co/zoeRvm35vb,2/21/2018 19:17
