id,tweet,date
313-1,"In an ironic twist, the #MeToo movement is helping aspiring actresses find work and create a boom in demand for niche video programming: anti-harassment training videos https://t.co/jFhkkaVlgO by @gerryfsmith",3/13/2018 15:48
313-2,I'm glad to read all the feminists very excited about the nomination of the First Female at the Head of the most important Intellingence Agency in the World. #CIA #GinaHaspel #feminism #metoo #hypocrisy @realDonaldTrump @theEUpost @giucruciani @lilliadottavi @ceno_enri @IYDU,3/13/2018 20:14
313-3,I'm glad to read all the feminists very excited about the nomination of the First Female at the Head of the most important Intellingence Agency in the World. #CIA #GinaHaspel #feminism #metoo #hypocrisy @realDonaldTrump @theEUpost @giucruciani @lilliadottavi @ceno_enri @IYDU,3/13/2018 20:14
313-4,I'm glad to read all the feminists very excited about the nomination of the First Female at the Head of the most important Intellingence Agency in the World. #CIA #GinaHaspel #feminism #metoo #hypocrisy @realDonaldTrump @theEUpost @giucruciani @lilliadottavi @ceno_enri @IYDU,3/13/2018 20:14
313-5,I'm glad to read all the feminists very excited about the nomination of the First Female at the Head of the most important Intellingence Agency in the World. #CIA #GinaHaspel #feminism #metoo #hypocrisy @realDonaldTrump @theEUpost @giucruciani @lilliadottavi @ceno_enri @IYDU,3/13/2018 20:14
313-6,Tomorrow I’m speaking at @nytimes with @jessicabennett about #MeToo coverage and reporting on gender inequality for @NYNewswomen ???? https://t.co/7rzhlaYeql,3/13/2018 16:59
313-7,?New? #MeToo ????????????????????????????????????????????????? #WeToo Japan???????????????????????????? ?????????????????????????????? @akiko_kob ?https://t.co/ZkzjhtD7uW https://t.co/j6Gd1w0KWv,3/4/2018 2:05
313-8,Kenialainen ihmisoikeusaktivisti Diana kertoo kotimaansa #MeToo -todellisuudesta. Rohkean naisen sosiaalisen median päivitys paljasti suuren sairaalan arkipäivän;vastasynnyttäneitä naisia raiskattiin.Sanat eivät riitä kuvaamaan tätä iljettävyyttä. Kiitos @FinlandUN tilaisuudesta.,3/13/2018 17:43
313-9,"@Jonathan_HR_Law &amp; @USEEOC Acting Chair Lipnic discussing the importance of creating a culture of safety, due process and respect to eviscerate sexual harassment in the workplace @SHRMATeam #SHRMLeg @OHSHRM #sexualharassment #metoo https://t.co/kmde6v",3/13/2018 17:41
313-10,We are 'learning' wrong word we knew but didnt care about industrial scale sex slavery of workibg class girls organisations like @POWNotts are having their funding slashed. Working class women dont matter. Because its not you #metoo is it,3/13/2018 20:11
313-11,"In my hometown these two women are running to unseat the all-male, all-white board &amp; their opponents put out THIS calling them ""females"" who have ""drawn their inspiration to run for office from the Women's March and ""Hollywood #MeToo movement"" ?? 
@tuckahoedems @tuckahoeunited https://t.co/hDA4cMBaLP",3/13/2018 19:44
313-12,"In my hometown these two women are running to unseat the all-male, all-white board &amp; their opponents put out THIS calling them ""females"" who have ""drawn their inspiration to run for office from the Women's March and ""Hollywood #MeToo movement"" ?? 
@tuckahoedems @tuckahoeunited https://t.co/hDA4cMBaLP",3/13/2018 19:44
313-13,"""La police de la pensée est dépassée. On en est à la police des arrières-pensées: le soupçon vaut accusation, l'accusation vaut condamnation"" - @alaindebenoist
#BalanceTonPorc #metoo",3/13/2018 16:00
313-14,@AliceB820 @AmericanGirl815 @SammyJr07 @BlessThe_US @Golfinggary5221 @IWillRedPillU @debluc745 @ArizonaKayte @GartrellLinda @bgood12345 @gr8tjude @DaveSchreiber3 @MAGAKrissy @ginger6516 @hidehunt1 @Lynn_Thinks @alozras411 @CkcGrandmac @albertbbbalbert @BB,3/13/2018 20:17
313-15,@AliceB820 @AmericanGirl815 @SammyJr07 @BlessThe_US @Golfinggary5221 @IWillRedPillU @debluc745 @ArizonaKayte @GartrellLinda @bgood12345 @gr8tjude @DaveSchreiber3 @MAGAKrissy @ginger6516 @hidehunt1 @Lynn_Thinks @alozras411 @CkcGrandmac @albertbbbalbert @BB,3/13/2018 20:17
313-16,@AliceB820 @AmericanGirl815 @SammyJr07 @BlessThe_US @Golfinggary5221 @IWillRedPillU @debluc745 @ArizonaKayte @GartrellLinda @bgood12345 @gr8tjude @DaveSchreiber3 @MAGAKrissy @ginger6516 @hidehunt1 @Lynn_Thinks @alozras411 @CkcGrandmac @albertbbbalbert @BB,3/13/2018 20:17
313-17,@AliceB820 @AmericanGirl815 @SammyJr07 @BlessThe_US @Golfinggary5221 @IWillRedPillU @debluc745 @ArizonaKayte @GartrellLinda @bgood12345 @gr8tjude @DaveSchreiber3 @MAGAKrissy @ginger6516 @hidehunt1 @Lynn_Thinks @alozras411 @CkcGrandmac @albertbbbalbert @BB,3/13/2018 20:17
313-18,@AliceB820 @AmericanGirl815 @SammyJr07 @BlessThe_US @Golfinggary5221 @IWillRedPillU @debluc745 @ArizonaKayte @GartrellLinda @bgood12345 @gr8tjude @DaveSchreiber3 @MAGAKrissy @ginger6516 @hidehunt1 @Lynn_Thinks @alozras411 @CkcGrandmac @albertbbbalbert @BB,3/13/2018 20:17
313-19,@AliceB820 @AmericanGirl815 @SammyJr07 @BlessThe_US @Golfinggary5221 @IWillRedPillU @debluc745 @ArizonaKayte @GartrellLinda @bgood12345 @gr8tjude @DaveSchreiber3 @MAGAKrissy @ginger6516 @hidehunt1 @Lynn_Thinks @alozras411 @CkcGrandmac @albertbbbalbert @BB,3/13/2018 20:17
313-20,@AliceB820 @AmericanGirl815 @SammyJr07 @BlessThe_US @Golfinggary5221 @IWillRedPillU @debluc745 @ArizonaKayte @GartrellLinda @bgood12345 @gr8tjude @DaveSchreiber3 @MAGAKrissy @ginger6516 @hidehunt1 @Lynn_Thinks @alozras411 @CkcGrandmac @albertbbbalbert @BB,3/13/2018 20:17
313-21,@AliceB820 @AmericanGirl815 @SammyJr07 @BlessThe_US @Golfinggary5221 @IWillRedPillU @debluc745 @ArizonaKayte @GartrellLinda @bgood12345 @gr8tjude @DaveSchreiber3 @MAGAKrissy @ginger6516 @hidehunt1 @Lynn_Thinks @alozras411 @CkcGrandmac @albertbbbalbert @BB,3/13/2018 20:17
