id,tweet,date
310-1,I needed a voice &amp; I needed for others to believe me. I found strength in the #MeToo community &amp; found empowerment through empathy. But I’m finally ready to do more. From #MeToo to #TimesUp-my story only gets better. #changetheratio #sapientrazorfish @cindygallop @dietmadisonave https://t.co/iabw3z4F9n,3/10/2018 21:13
310-2,@heretical_1 @joycemarieh66 @sikntyrd54 @bitchtater @NeonEBlue @ResistanceZone @0yogini0 @TheUSASingers @FigTreeRev @NewResister @MatrixResist @WKTRUTH @PoliticalDoggy @ITMFA_NOW @Fk__45 @KnieriemenSusan @AxxisonMargaret @Laura_Rachelle_ @cubfansince76 @d,3/10/2018 23:57
310-3,@heretical_1 @joycemarieh66 @sikntyrd54 @bitchtater @NeonEBlue @ResistanceZone @0yogini0 @TheUSASingers @FigTreeRev @NewResister @MatrixResist @WKTRUTH @PoliticalDoggy @ITMFA_NOW @Fk__45 @KnieriemenSusan @AxxisonMargaret @Laura_Rachelle_ @cubfansince76 @d,3/10/2018 23:57
310-4,@heretical_1 @joycemarieh66 @sikntyrd54 @bitchtater @NeonEBlue @ResistanceZone @0yogini0 @TheUSASingers @FigTreeRev @NewResister @MatrixResist @WKTRUTH @PoliticalDoggy @ITMFA_NOW @Fk__45 @KnieriemenSusan @AxxisonMargaret @Laura_Rachelle_ @cubfansince76 @d,3/10/2018 23:57
310-5,@heretical_1 @joycemarieh66 @sikntyrd54 @bitchtater @NeonEBlue @ResistanceZone @0yogini0 @TheUSASingers @FigTreeRev @NewResister @MatrixResist @WKTRUTH @PoliticalDoggy @ITMFA_NOW @Fk__45 @KnieriemenSusan @AxxisonMargaret @Laura_Rachelle_ @cubfansince76 @d,3/10/2018 23:57
310-6,@heretical_1 @joycemarieh66 @sikntyrd54 @bitchtater @NeonEBlue @ResistanceZone @0yogini0 @TheUSASingers @FigTreeRev @NewResister @MatrixResist @WKTRUTH @PoliticalDoggy @ITMFA_NOW @Fk__45 @KnieriemenSusan @AxxisonMargaret @Laura_Rachelle_ @cubfansince76 @d,3/10/2018 23:57
310-7,@heretical_1 @joycemarieh66 @sikntyrd54 @bitchtater @NeonEBlue @ResistanceZone @0yogini0 @TheUSASingers @FigTreeRev @NewResister @MatrixResist @WKTRUTH @PoliticalDoggy @ITMFA_NOW @Fk__45 @KnieriemenSusan @AxxisonMargaret @Laura_Rachelle_ @cubfansince76 @d,3/10/2018 23:57
310-8,@heretical_1 @joycemarieh66 @sikntyrd54 @bitchtater @NeonEBlue @ResistanceZone @0yogini0 @TheUSASingers @FigTreeRev @NewResister @MatrixResist @WKTRUTH @PoliticalDoggy @ITMFA_NOW @Fk__45 @KnieriemenSusan @AxxisonMargaret @Laura_Rachelle_ @cubfansince76 @d,3/10/2018 23:57
310-9,@heretical_1 @joycemarieh66 @sikntyrd54 @bitchtater @NeonEBlue @ResistanceZone @0yogini0 @TheUSASingers @FigTreeRev @NewResister @MatrixResist @WKTRUTH @PoliticalDoggy @ITMFA_NOW @Fk__45 @KnieriemenSusan @AxxisonMargaret @Laura_Rachelle_ @cubfansince76 @d,3/10/2018 23:57
310-10,@heretical_1 @joycemarieh66 @sikntyrd54 @bitchtater @NeonEBlue @ResistanceZone @0yogini0 @TheUSASingers @FigTreeRev @NewResister @MatrixResist @WKTRUTH @PoliticalDoggy @ITMFA_NOW @Fk__45 @KnieriemenSusan @AxxisonMargaret @Laura_Rachelle_ @cubfansince76 @d,3/10/2018 23:57
