id,tweet,date
308-1,"Who's missing in discussions about #metoo #mettooinchina? Many lower class women, women who didn't grow up in big cities. My ayi (housekeeper) had three kids by 29 and had no choice about it. - @women_podcast #Nuvoices https://t.co/ePU2zbYXl2",3/8/2018 12:53
308-2,"""The publishing industry has its own set of available responses to the wave of #MeToo revelations ... but what role can academics play?""

In honour of #InternationalWomensDay, check out our incredible new article by @ClaireSquires and @Beth_driscoll! 
https://t.co/DfdqXMZtMj",3/8/2018 19:23
308-3,"""The publishing industry has its own set of available responses to the wave of #MeToo revelations ... but what role can academics play?""

In honour of #InternationalWomensDay, check out our incredible new article by @ClaireSquires and @Beth_driscoll! 
https://t.co/DfdqXMZtMj",3/8/2018 19:23
308-4,"UPDATE: Strawberry is a trans woman being held in solitary confinement in men’s prison. Today, a 2nd suit was filed by @uplcchicago  &amp; @MacArthrJustice to force IDOC to honor her rights! #TransRightsAreHumanRights #MeToo #TimesUp #IWD2018 #FreeStrawberry 

https://t.co/FZp9b0qOvu https://t.co/O0eqGfVKLC",3/9/2018 0:14
308-5,"UPDATE: Strawberry is a trans woman being held in solitary confinement in men’s prison. Today, a 2nd suit was filed by @uplcchicago  &amp; @MacArthrJustice to force IDOC to honor her rights! #TransRightsAreHumanRights #MeToo #TimesUp #IWD2018 #FreeStrawberry 

https://t.co/FZp9b0qOvu https://t.co/O0eqGfVKLC",3/9/2018 0:14
308-6,".@rosemcgowan on former co-star Alyssa Milano's #MeToo work: 'She's a lie.' But Milano tells @ABC News' Nightline, ""I am and always have been completely supportive of Rose."" Tonight on Nightline with @JujuChangABC https://t.co/2wZt2jXdaE",2/1/2018 0:00
308-7,"The rest of the world is talking about #MeToo and in Nepal, like much of South Asia, the conversation feels like a non-starter. #IWD2018 #RageAgainstRape https://t.co/cYMB4wcnKc @mandyvandeven @smriti_basnet",3/8/2018 4:25
308-8,"The rest of the world is talking about #MeToo and in Nepal, like much of South Asia, the conversation feels like a non-starter. #IWD2018 #RageAgainstRape https://t.co/cYMB4wcnKc @mandyvandeven @smriti_basnet",3/8/2018 4:25
308-9,"#????? ? #??? ????? #?? ??????????? @BuzzFeedJapan ???????????????????????????????????????????????????????????????????????????@ciaolivia?
https://t.co/tPQl7W3Jzu  #metoo",3/6/2018 12:33
308-10,"""Women are intellectual, emotional, spiritual, creative, athletic, familial, political, caring, compassionate, relational, &amp; strong... Celebrate women, don’t consume them."" @BenjaminNolot | Happy International Women's Day! #HerStoryOurStory #IWD2018 #PressforProgress #MeToo https://t.co/28LDH6hjAD",3/8/2018 20:42
