id,tweet,date
306-1,"Great panel @CdnClubTO seismic shift with #metoo movement and changing workplace with Janice Rubin, Lisa Kimmel &amp; Colin Bohm  - moderated by Ken Fredeen @Deloitte https://t.co/P2Q7fDoLGV",3/6/2018 17:52
306-2,"""I shouldn't have done it""
Sheila Hancock on why the #MeToo campaign has made her rethink her own past behaviour https://t.co/Hen5Vo6ZK6 @bbcwomanshour https://t.co/nDWmgcnxNj",3/6/2018 15:18
306-3,"""The self-congratulatory tone of the celebrity #MeToo set is grating. It’s as if they really believe that they are radicals, sat in a room where everyone is wearing outfits worth more than most people make in a year"", writes @Ella_M_Whelan #Oscars https://t.co/hpHP6siE6P",3/5/2018 19:32
306-4,"Ahead of the #MeToo anthology launch on Thur, editor @emergencypoet will be on @BBCRadio4 Front Row tmw 7.15pm talking about the book and with @arshi_mona about how poets respond to current issues.  https://t.co/XsGzRe5t9U",3/6/2018 15:41
306-5,We review @meenakandasamy fabulous 'When I Hit You' from @AtlanticBooks - 'The book is very timely considering the #metoo campaign and the increasing prominence of the feminist voice around the world today.' #bookreview #TimesUp reviewed by @deborahlsinger https://t.co/kBVysCsEIs,3/6/2018 8:12
306-6,"For all of you, who haven't watched it yet: a short video of our #120dB  intervention at a #metoo event in Berlin on February 19th, while the ""Berlinale"" (film festival) took place. Incl. interview with Aline, one of our activists. @TRobinsonNewEra

https://t.co/78Vtpbf4B5",3/6/2018 11:39
306-7,Movements work. A new survey shows that #MeToo and #TimesUp have pushed 48% of companies to review pay policies https://t.co/fJmVlX0LWF @juliaccarpenter #EqualRightsNow,3/5/2018 16:00
306-8,"In which I talk about #DoctorWho #Gally1 and some stuff that hurts and some that heals.
Doctor Who, #MeToo, and why Gallifrey is done waiting https://t.co/CCxI3YBgra via @denofgeek",3/6/2018 6:07
306-9,Gästade @RFSU förra månaden ang #metoo och gjorde en turbopresentation för av det våldsförebyggande arbete som drivs i projektet Machofabriken vi utvecklar. Här på @URsamtiden https://t.co/nOvhI9Omhi,3/6/2018 14:55
306-10,Great piece from @StephanieBusari on #metoo in #Nigeria and the women leading transformative change: https://t.co/avfE1LPKur cc: @swinarick @Odeh_JuniorOdeh @NOIweala @obyezeks,3/6/2018 11:14
306-11,Great piece from @StephanieBusari on #metoo in #Nigeria and the women leading transformative change: https://t.co/avfE1LPKur cc: @swinarick @Odeh_JuniorOdeh @NOIweala @obyezeks,3/6/2018 11:14
306-12,Great piece from @StephanieBusari on #metoo in #Nigeria and the women leading transformative change: https://t.co/avfE1LPKur cc: @swinarick @Odeh_JuniorOdeh @NOIweala @obyezeks,3/6/2018 11:14
306-13,"Als er bij de Oscars wordt gesproken over #MeToo, dan is dat niet 'politiek correct'. Het gaat dan over vrouwenrechten. Dat is niet politiek correct, dat is gewoon normaal. 

@APechtold bij WNL op zondag. ? https://t.co/jVz1k6foD1",3/5/2018 17:30
306-14,Greedy Jordan milking #MeToo @HotFacials @facial_cumshots @CumshotClips @CumshotsDaiIy @FacialForum @UraSwallow @moneyshot_vids https://t.co/ZeyI3s2vRL,3/5/2018 18:06
