tweet,date,text
1,2/26/18 17:05,"Where has #metoo left the art of seduction? @AgnesCPoirier offers a French perspective, on this month's LNWH with @laurenlaverne @BBCWomansHour  https://t.co/TxtdCkkW5A https://t.co/qN3Ixnl4TO"
2,2/26/18 14:15,"Writers respond to the #MeToo movement. Our #PENtownhall featuring @collier, @rebel19, @mashagessen, @wesyang, @Egangoonsquad, &amp; @SuzanneNossel. 2/28. https://t.co/8Z4nSAja3s"
3,2/26/18 14:15,"Writers respond to the #MeToo movement. Our #PENtownhall featuring @collier, @rebel19, @mashagessen, @wesyang, @Egangoonsquad, &amp; @SuzanneNossel. 2/28. https://t.co/8Z4nSAja3s"
4,2/26/18 13:59,"From #MeToo to domestic abuse and infanticide, the horrors women and girls face around the world are overwhelming, but the Church cannot turn away. @madamspeaker@ivpacademic @ElaineStorkey https://t.co/tG0XxfqkeM"
5,2/26/18 13:59,"From #MeToo to domestic abuse and infanticide, the horrors women and girls face around the world are overwhelming, but the Church cannot turn away. @madamspeaker@ivpacademic @ElaineStorkey https://t.co/tG0XxfqkeM"
6,2/26/18 17:48,"He who shapes the story creates 'the truth'. But #MeToo #Timesup rise in decibel level provides resonance for women’s narratives: @MonicaLewinsky in @VanityFair notes importance of @george lakoff #framing. Important stuff for understanding complexities + context (w' compassion) https://t.co/CH8w21AC3I"
7,2/26/18 16:47,What #MeToo shows about the value of being #TypeR &amp; #TransformativeResilience. Inspiring story abt. #MeTooNatSec from @wendyranderson https://t.co/JMtW1ej86o @Slate @BetterLifeLab @public_affairs @HachetteUS @wtrmrk
8,2/26/18 16:47,What #MeToo shows about the value of being #TypeR &amp; #TransformativeResilience. Inspiring story abt. #MeTooNatSec from @wendyranderson https://t.co/JMtW1ej86o @Slate @BetterLifeLab @public_affairs @HachetteUS @wtrmrk
9,2/26/18 16:47,What #MeToo shows about the value of being #TypeR &amp; #TransformativeResilience. Inspiring story abt. #MeTooNatSec from @wendyranderson https://t.co/JMtW1ej86o @Slate @BetterLifeLab @public_affairs @HachetteUS @wtrmrk
10,2/26/18 16:47,What #MeToo shows about the value of being #TypeR &amp; #TransformativeResilience. Inspiring story abt. #MeTooNatSec from @wendyranderson https://t.co/JMtW1ej86o @Slate @BetterLifeLab @public_affairs @HachetteUS @wtrmrk
11,2/26/18 11:05,"#MeToo, a poetry anthology by and for women, will be released on 8th March. Ahead of its publication, poet Deborah Alma (@emergencypoet) talks about the book’s origins. https://t.co/FNxEPO1yjb"
12,2/26/18 19:19,"Seattle people: Don't click on the reactionary hot takes about consent and #MeToo. Instead, come have a drink with me, @KCSARC, and @seattletimes reporter @pgcornwell tomorrow night while we break down fact from fiction. https://t.co/lRGVRAxS14"
13,2/26/18 19:19,"Seattle people: Don't click on the reactionary hot takes about consent and #MeToo. Instead, come have a drink with me, @KCSARC, and @seattletimes reporter @pgcornwell tomorrow night while we break down fact from fiction. https://t.co/lRGVRAxS14"
14,2/26/18 19:19,"Seattle people: Don't click on the reactionary hot takes about consent and #MeToo. Instead, come have a drink with me, @KCSARC, and @seattletimes reporter @pgcornwell tomorrow night while we break down fact from fiction. https://t.co/lRGVRAxS14"
15,2/22/18 17:14,"Maureen O’ Hara lives on in the #MeToo #TimesUp movement. The struggles she faced can be seen in “Queen of Technicolor”, a play that reveals the person behind the icon. Thank you @DeirdreOKane1 @IFTA for remembering this truly brilliant person #maueenohara #queenoftechnicolor https://t.co/x1TEMqUXH3"
16,2/22/18 17:14,"Maureen O’ Hara lives on in the #MeToo #TimesUp movement. The struggles she faced can be seen in “Queen of Technicolor”, a play that reveals the person behind the icon. Thank you @DeirdreOKane1 @IFTA for remembering this truly brilliant person #maueenohara #queenoftechnicolor https://t.co/x1TEMqUXH3"
17,2/26/18 11:29,"Ach sieh mal einer an: Bei meiner Recherche zum #Kinderkanal und der Veruntreuung von Gebühren sowie #metoo-Problemen stößt man auf ""Korruption und krumme Geschäfte"" beim @MDR. Man muss diesen Sumpf endlich trocken legen. #MDR https://t.co/NKep3gM4iV"
