,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertex 1,Vertex 2,Color,Width,Style,Opacity,Visibility,Label,Label Text Color,Label Font Size,Reciprocated?,ID,Dynamic Filter,Add Your Own Columns Here,Relationship,Relationship Date (UTC),Tweet,URLs in Tweet,Domains in Tweet,Hashtags in Tweet,Media in Tweet,Tweet Image File,Tweet Date (UTC),Twitter Page for Tweet,Latitude,Longitude,Imported ID,In-Reply-To Tweet ID,Favorited,Favorite Count,In-Reply-To User ID,Is Quote Status,Language,Possibly Sensitive,Quoted Status ID,Retweeted,Retweet Count,Retweet ID,Source,Truncated,Unified Twitter ID,Imported Tweet Type,Added By Extended Analysis,Corrected By Extended Analysis,Place Bounding Box,Place Country,Place Country Code,Place Full Name,Place ID,Place Name,Place Type,Place URL
joannachiu,women_podcast,,,,,,,,,,,,,Mentions,3/8/18 12:53,"Who's missing in discussions about #metoo #mettooinchina? Many lower class women, women who didn't grow up in big cities. My ayi (housekeeper) had three kids by 29 and had no choice about it. - @women_podcast #Nuvoices https://t.co/ePU2zbYXl2",,,metoo mettooinchina nuvoices,https://pbs.twimg.com/ext_tw_video_thumb/971730345820221442/pu/img/9JTjClCnB_7h8Q20.jpg,https://pbs.twimg.com/ext_tw_video_thumb/971730345820221442/pu/img/9JTjClCnB_7h8Q20.jpg,3/8/18 12:53,https://twitter.com/#!/joannachiu/status/971730538514927616,,,971730538514927616,,FALSE,11,,FALSE,en,,,FALSE,9,,Twitter for Android,FALSE,971730538514927616,Retweet,0,0,,,,,,,,
interscriptucl,beth_driscoll,,,,,,,,,,,,,Mentions,3/8/18 19:23,"""The publishing industry has its own set of available responses to the wave of #MeToo revelations ... but what role can academics play?""In honour of #InternationalWomensDay, check out our incredible new article by @ClaireSquires and @Beth_driscoll! https://t.co/DfdqXMZtMj",https://www.interscriptjournal.com/online-magazine/sleaze-o-meter,interscriptjournal.com,metoo internationalwomensday,,http://pbs.twimg.com/profile_images/823480180316504064/t4viMwA__normal.jpg,3/8/18 19:23,https://twitter.com/#!/interscriptucl/status/971828709115285504,,,971828709115285504,,FALSE,16,,FALSE,en,,,FALSE,11,,Twitter Web Client,FALSE,971828709115285504,Retweet,0,0,,,,,,,,
interscriptucl,clairesquires,,,,,,,,,,,,,Mentions,3/8/18 19:23,"""The publishing industry has its own set of available responses to the wave of #MeToo revelations ... but what role can academics play?""In honour of #InternationalWomensDay, check out our incredible new article by @ClaireSquires and @Beth_driscoll! https://t.co/DfdqXMZtMj",https://www.interscriptjournal.com/online-magazine/sleaze-o-meter,interscriptjournal.com,metoo internationalwomensday,,http://pbs.twimg.com/profile_images/823480180316504064/t4viMwA__normal.jpg,3/8/18 19:23,https://twitter.com/#!/interscriptucl/status/971828709115285504,,,971828709115285504,,FALSE,16,,FALSE,en,,,FALSE,11,,Twitter Web Client,FALSE,971828709115285504,Retweet,0,0,,,,,,,,
blmchi,macarthrjustice,,,,,,,,,,,,,Mentions,3/9/18 00:14,"UPDATE: Strawberry is a trans woman being held in solitary confinement in men’s prison. Today, a 2nd suit was filed by @uplcchicago  &amp; @MacArthrJustice to force IDOC to honor her rights! #TransRightsAreHumanRights #MeToo #TimesUp #IWD2018 #FreeStrawberry https://t.co/FZp9b0qOvu https://t.co/O0eqGfVKLC",https://www.usnews.com/news/best-states/illinois/articles/2018-03-08/transgender-inmate-sues-illinois-corrections-department,usnews.com,transrightsarehumanrights metoo timesup iwd2018 freestrawberry,https://pbs.twimg.com/ext_tw_video_thumb/971902087880568834/pu/img/4qW23u8EFo_5CPuS.jpg,https://pbs.twimg.com/ext_tw_video_thumb/971902087880568834/pu/img/4qW23u8EFo_5CPuS.jpg,3/9/18 00:14,https://twitter.com/#!/blmchi/status/971902121053425664,,,971902121053425664,,FALSE,22,,FALSE,en,,,FALSE,19,,TweetDeck,FALSE,971902121053425664,Retweet,0,0,,,,,,,,
blmchi,uplcchicago,,,,,,,,,,,,,Mentions,3/9/18 00:14,"UPDATE: Strawberry is a trans woman being held in solitary confinement in men’s prison. Today, a 2nd suit was filed by @uplcchicago  &amp; @MacArthrJustice to force IDOC to honor her rights! #TransRightsAreHumanRights #MeToo #TimesUp #IWD2018 #FreeStrawberry https://t.co/FZp9b0qOvu https://t.co/O0eqGfVKLC",https://www.usnews.com/news/best-states/illinois/articles/2018-03-08/transgender-inmate-sues-illinois-corrections-department,usnews.com,transrightsarehumanrights metoo timesup iwd2018 freestrawberry,https://pbs.twimg.com/ext_tw_video_thumb/971902087880568834/pu/img/4qW23u8EFo_5CPuS.jpg,https://pbs.twimg.com/ext_tw_video_thumb/971902087880568834/pu/img/4qW23u8EFo_5CPuS.jpg,3/9/18 00:14,https://twitter.com/#!/blmchi/status/971902121053425664,,,971902121053425664,,FALSE,22,,FALSE,en,,,FALSE,19,,TweetDeck,FALSE,971902121053425664,Retweet,0,0,,,,,,,,
nightline,jujuchangabc,,,,,,,,,,,,,Mentions,2/1/18 00:00,".@rosemcgowan on former co-star Alyssa Milano's #MeToo work: 'She's a lie.' But Milano tells @ABC News' Nightline, ""I am and always have been completely supportive of Rose."" Tonight on Nightline with @JujuChangABC https://t.co/2wZt2jXdaE",,,metoo,https://pbs.twimg.com/media/DU6BGQyXUAAkWzD.jpg,https://pbs.twimg.com/media/DU6BGQyXUAAkWzD.jpg,2/1/18 00:00,https://twitter.com/#!/nightline/status/958852413330305025,,,958852413330305025,,FALSE,3190,,FALSE,en,,,FALSE,1376,,Media Studio,FALSE,958852413330305025,Retweet,0,0,,,,,,,,
shresthasubina,smriti_basnet,,,,,,,,,,,,,Mentions,3/8/18 04:25,"The rest of the world is talking about #MeToo and in Nepal, like much of South Asia, the conversation feels like a non-starter. #IWD2018 #RageAgainstRape https://t.co/cYMB4wcnKc @mandyvandeven @smriti_basnet",https://www.aljazeera.com/blogs/asia/2018/03/rape-nepal-180307134321758.html,aljazeera.com,metoo iwd2018 rageagainstrape,,http://pbs.twimg.com/profile_images/563390809454571520/tNRKvEFM_normal.jpeg,3/8/18 04:25,https://twitter.com/#!/shresthasubina/status/971602831684919296,,,971602831684919296,,FALSE,19,,FALSE,en,,,FALSE,6,,Twitter Web Client,FALSE,971602831684919296,Retweet,0,0,,,,,,,,
shresthasubina,mandyvandeven,,,,,,,,,,,,,Mentions,3/8/18 04:25,"The rest of the world is talking about #MeToo and in Nepal, like much of South Asia, the conversation feels like a non-starter. #IWD2018 #RageAgainstRape https://t.co/cYMB4wcnKc @mandyvandeven @smriti_basnet",https://www.aljazeera.com/blogs/asia/2018/03/rape-nepal-180307134321758.html,aljazeera.com,metoo iwd2018 rageagainstrape,,http://pbs.twimg.com/profile_images/563390809454571520/tNRKvEFM_normal.jpeg,3/8/18 04:25,https://twitter.com/#!/shresthasubina/status/971602831684919296,,,971602831684919296,,FALSE,19,,FALSE,en,,,FALSE,6,,Twitter Web Client,FALSE,971602831684919296,Retweet,0,0,,,,,,,,
nakano_hiromi,ciaolivia,,,,,,,,,,,,,Mentions,3/6/18 12:33,"#_____ _ #___ _____ #__ ___________ @BuzzFeedJapan ___________________________________________________________________________@ciaolivia_https://t.co/tPQl7W3Jzu  #metoo",https://www.buzzfeed.com/jp/saoriibuki/torasan-no-namida?utm_term=.dl4NnBXbb,buzzfeed.com,_____ ___ __ metoo,,http://pbs.twimg.com/profile_images/930047845339578373/2W-uCYZ4_normal.jpg,3/6/18 12:33,https://twitter.com/#!/nakano_hiromi/status/971000851471810560,,,971000851471810560,,FALSE,75,,FALSE,ja,,,FALSE,78,,Twitter Web Client,FALSE,971000851471810560,Retweet,0,0,,,,,,,,
