"","id","tweet","date","origtweet"
"1","226-1","Where has #metoo left the art of seduction? offers a French perspective, on this month's LNWH with  TxtdCkkW5A qN3Ixnl4TO",2018-02-26 17:05:00,"Where has #metoo left the art of seduction? @AgnesCPoirier offers a French perspective, on this month's LNWH with @laurenlaverne @BBCWomansHour  https://t.co/TxtdCkkW5A https://t.co/qN3Ixnl4TO"
"2","226-2","Writers respond to the #MeToo movement. Our #PENtownhall featuring        2/28. 8Z4nSAja3s",2018-02-26 14:15:00,"Writers respond to the #MeToo movement. Our #PENtownhall featuring @collier, @rebel19, @mashagessen, @wesyang, @Egangoonsquad, &amp; @SuzanneNossel. 2/28. https://t.co/8Z4nSAja3s"
"3","226-3","Writers respond to the #MeToo movement. Our #PENtownhall featuring        2/28. 8Z4nSAja3s",2018-02-26 14:15:00,"Writers respond to the #MeToo movement. Our #PENtownhall featuring @collier, @rebel19, @mashagessen, @wesyang, @Egangoonsquad, &amp; @SuzanneNossel. 2/28. https://t.co/8Z4nSAja3s"
"4","226-4","From #MeToo to domestic abuse and infanticide, the horrors women and girls face around the world are overwhelming, but the Church cannot turn away. tG0XxfqkeM",2018-02-26 13:59:00,"From #MeToo to domestic abuse and infanticide, the horrors women and girls face around the world are overwhelming, but the Church cannot turn away. @madamspeaker
@ivpacademic @ElaineStorkey 
https://t.co/tG0XxfqkeM"
"5","226-5","From #MeToo to domestic abuse and infanticide, the horrors women and girls face around the world are overwhelming, but the Church cannot turn away. tG0XxfqkeM",2018-02-26 13:59:00,"From #MeToo to domestic abuse and infanticide, the horrors women and girls face around the world are overwhelming, but the Church cannot turn away. @madamspeaker
@ivpacademic @ElaineStorkey 
https://t.co/tG0XxfqkeM"
"6","226-6","He who shapes the story creates 'the truth'. But #MeToo #Timesup rise in decibel level provides resonance for women?s narratives: in notes importance of lakoff #framing. Important stuff for understanding complexities + context (w' compassion) CH8w21AC3I",2018-02-26 17:48:00,"He who shapes the story creates 'the truth'. But #MeToo #Timesup rise in decibel level provides resonance for women?s narratives: @MonicaLewinsky in @VanityFair notes importance of @george lakoff #framing. 
Important stuff for understanding complexities + context (w' compassion) https://t.co/CH8w21AC3I"
"7","226-7","What #MeToo shows about the value of being #TypeR  #TransformativeResilience. Inspiring story abt. #MeTooNatSec from JMtW1ej86o ",2018-02-26 16:47:00,"What #MeToo shows about the value of being #TypeR &amp; #TransformativeResilience. Inspiring story abt. #MeTooNatSec from @wendyranderson https://t.co/JMtW1ej86o @Slate @BetterLifeLab @public_affairs @HachetteUS @wtrmrk"
"8","226-8","What #MeToo shows about the value of being #TypeR  #TransformativeResilience. Inspiring story abt. #MeTooNatSec from JMtW1ej86o ",2018-02-26 16:47:00,"What #MeToo shows about the value of being #TypeR &amp; #TransformativeResilience. Inspiring story abt. #MeTooNatSec from @wendyranderson https://t.co/JMtW1ej86o @Slate @BetterLifeLab @public_affairs @HachetteUS @wtrmrk"
"9","226-9","What #MeToo shows about the value of being #TypeR  #TransformativeResilience. Inspiring story abt. #MeTooNatSec from JMtW1ej86o ",2018-02-26 16:47:00,"What #MeToo shows about the value of being #TypeR &amp; #TransformativeResilience. Inspiring story abt. #MeTooNatSec from @wendyranderson https://t.co/JMtW1ej86o @Slate @BetterLifeLab @public_affairs @HachetteUS @wtrmrk"
"10","226-10","What #MeToo shows about the value of being #TypeR  #TransformativeResilience. Inspiring story abt. #MeTooNatSec from JMtW1ej86o ",2018-02-26 16:47:00,"What #MeToo shows about the value of being #TypeR &amp; #TransformativeResilience. Inspiring story abt. #MeTooNatSec from @wendyranderson https://t.co/JMtW1ej86o @Slate @BetterLifeLab @public_affairs @HachetteUS @wtrmrk"
"11","226-11","#MeToo, a poetry anthology by and for women, will be released on 8th March. Ahead of its publication, poet Deborah Alma () talks about the book?s origins. FNxEPO1yjb",2018-02-26 11:05:00,"#MeToo, a poetry anthology by and for women, will be released on 8th March. Ahead of its publication, poet Deborah Alma (@emergencypoet) talks about the book?s origins. https://t.co/FNxEPO1yjb"
"12","226-12","Seattle people: Don't click on the reactionary hot takes about consent and #MeToo. Instead, come have a drink with me,  and reporter tomorrow night while we break down fact from fiction. lRGVRAxS14",2018-02-26 19:19:00,"Seattle people: Don't click on the reactionary hot takes about consent and #MeToo. Instead, come have a drink with me, @KCSARC, and @seattletimes reporter @pgcornwell tomorrow night while we break down fact from fiction. https://t.co/lRGVRAxS14"
"13","226-13","Seattle people: Don't click on the reactionary hot takes about consent and #MeToo. Instead, come have a drink with me,  and reporter tomorrow night while we break down fact from fiction. lRGVRAxS14",2018-02-26 19:19:00,"Seattle people: Don't click on the reactionary hot takes about consent and #MeToo. Instead, come have a drink with me, @KCSARC, and @seattletimes reporter @pgcornwell tomorrow night while we break down fact from fiction. https://t.co/lRGVRAxS14"
"14","226-14","Seattle people: Don't click on the reactionary hot takes about consent and #MeToo. Instead, come have a drink with me,  and reporter tomorrow night while we break down fact from fiction. lRGVRAxS14",2018-02-26 19:19:00,"Seattle people: Don't click on the reactionary hot takes about consent and #MeToo. Instead, come have a drink with me, @KCSARC, and @seattletimes reporter @pgcornwell tomorrow night while we break down fact from fiction. https://t.co/lRGVRAxS14"
"15","226-15","Maureen O? Hara lives on in the #MeToo #TimesUp movement. The struggles she faced can be seen in ?Queen of Technicolor?, a play that reveals the person behind the icon. Thank you for remembering this truly brilliant person #maueenohara #queenoftechnicolor x1TEMqUXH3",2018-02-22 17:14:00,"Maureen O? Hara lives on in the #MeToo #TimesUp movement. The struggles she faced can be seen in ?Queen of Technicolor?, a play that reveals the person behind the icon. Thank you @DeirdreOKane1 @IFTA for remembering this truly brilliant person #maueenohara #queenoftechnicolor https://t.co/x1TEMqUXH3"
"16","226-16","Maureen O? Hara lives on in the #MeToo #TimesUp movement. The struggles she faced can be seen in ?Queen of Technicolor?, a play that reveals the person behind the icon. Thank you for remembering this truly brilliant person #maueenohara #queenoftechnicolor x1TEMqUXH3",2018-02-22 17:14:00,"Maureen O? Hara lives on in the #MeToo #TimesUp movement. The struggles she faced can be seen in ?Queen of Technicolor?, a play that reveals the person behind the icon. Thank you @DeirdreOKane1 @IFTA for remembering this truly brilliant person #maueenohara #queenoftechnicolor https://t.co/x1TEMqUXH3"
