"","group","index","negative","positive","sentiment"
"1",1,1,0,2,2
"2",1,2,3,4,1
"3",1,4,12,4,-8
"4",1,6,0,1,1
"5",1,7,0,1,1
"6",1,12,0,1,1
"7",1,13,3,0,-3
"8",1,19,1,1,0
"9",1,23,10,0,-10
"10",2,1,2,0,-2
"11",2,4,2,0,-2
"12",2,5,2,1,-1
"13",2,12,1,0,-1
"14",2,15,0,2,2
"15",2,16,2,4,2
"16",2,20,0,3,3
"17",2,22,0,1,1
"18",3,2,2,0,-2
"19",3,5,1,0,-1
"20",3,7,3,0,-3
"21",3,13,3,0,-3
"22",3,14,0,2,2
"23",3,16,4,3,-1
"24",3,17,1,0,-1
"25",3,18,0,3,3
"26",3,19,0,1,1
"27",3,22,0,2,2
"28",4,1,0,11,11
"29",4,2,0,1,1
"30",4,5,0,2,2
"31",4,10,2,0,-2
"32",4,12,1,0,-1
"33",4,13,1,1,0
"34",4,14,0,2,2
"35",4,15,1,1,0
"36",4,17,0,1,1
"37",4,18,3,11,8
"38",4,19,3,2,-1
"39",4,21,1,0,-1
"40",4,22,1,0,-1
"41",4,23,3,2,-1
"42",5,0,0,3,3
"43",5,1,2,11,9
"44",5,2,8,6,-2
"45",5,3,5,0,-5
"46",5,4,1,2,1
"47",5,5,1,2,1
"48",5,6,1,1,0
"49",5,8,0,2,2
"50",5,9,1,0,-1
"51",5,10,2,1,-1
"52",5,12,3,4,1
"53",5,13,1,1,0
"54",5,14,14,8,-6
"55",5,15,1,0,-1
"56",5,16,1,2,1
"57",5,17,3,5,2
"58",5,18,7,4,-3
"59",5,19,14,2,-12
"60",5,20,3,3,0
"61",5,21,2,3,1
"62",5,22,6,6,0
"63",5,23,7,3,-4
"64",6,0,2,5,3
"65",6,1,3,7,4
"66",6,2,331,172,-159
"67",6,3,588,358,-230
"68",6,4,555,392,-163
"69",6,5,314,181,-133
"70",6,6,232,132,-100
"71",6,7,217,130,-87
"72",6,8,103,72,-31
"73",6,9,94,67,-27
"74",6,10,69,87,18
"75",6,11,175,157,-18
"76",6,12,670,228,-442
"77",6,13,633,323,-310
"78",6,14,647,403,-244
"79",6,15,598,443,-155
"80",6,16,493,908,415
"81",6,17,612,618,6
"82",6,18,423,503,80
"83",6,19,3,3,0
"84",6,21,2,1,-1
"85",6,22,1,3,2
"86",6,23,0,2,2
"87",7,0,0,14,14
"88",7,1,4,0,-4
"89",7,2,0,1,1
"90",7,3,0,4,4
"91",7,4,2,4,2
"92",7,5,4,7,3
"93",7,6,0,3,3
"94",7,10,0,8,8
"95",7,13,6,2,-4
"96",7,14,10,2,-8
"97",7,15,5,2,-3
"98",7,16,4,3,-1
"99",7,17,3,10,7
"100",7,18,13,46,33
"101",7,19,15,24,9
"102",7,20,15,10,-5
"103",7,21,7,15,8
"104",7,22,13,18,5
"105",7,23,21,46,25
"106",8,0,25,14,-11
"107",8,1,9,21,12
"108",8,2,12,22,10
"109",8,3,5,4,-1
"110",8,4,20,29,9
"111",8,5,3,2,-1
"112",8,6,13,1,-12
"113",8,7,5,7,2
"114",8,8,3,9,6
"115",8,9,3,4,1
"116",8,11,13,6,-7
"117",8,12,65,30,-35
"118",8,13,24,34,10
"119",8,14,61,40,-21
"120",8,15,61,56,-5
"121",8,16,63,42,-21
"122",8,17,48,56,8
"123",8,18,1871,2022,151
"124",8,19,2709,2641,-68
"125",8,20,2368,2555,187
"126",8,21,959,1072,113
"127",11,19,6,0,-6
"128",16,20,4,1,-3
"129",17,10,1,0,-1
"130",18,6,0,4,4
"131",18,14,2,0,-2
"132",19,6,0,2,2
"133",20,0,1,1,0
"134",20,3,0,2,2
"135",20,4,1,1,0
"136",20,12,3,2,-1
"137",20,15,0,4,4
"138",20,16,0,2,2
"139",20,23,1,1,0
"140",21,0,0,2,2
"141",21,3,0,2,2
"142",21,14,1,0,-1
"143",21,18,1,1,0
"144",21,19,0,1,1
"145",22,1,0,2,2
"146",22,3,0,2,2
"147",22,4,1,3,2
"148",22,7,0,3,3
"149",22,14,5,1,-4
"150",22,15,2,0,-2
"151",23,3,0,1,1
"152",23,6,3,0,-3
"153",23,14,2,1,-1
"154",23,21,0,2,2
"155",23,23,9,1,-8
"156",24,2,0,1,1
"157",24,3,0,2,2
"158",24,4,0,2,2
"159",24,5,1,0,-1
"160",24,11,0,1,1
"161",24,12,0,1,1
"162",24,14,1,2,1
"163",24,17,1,0,-1
"164",24,19,1,0,-1
"165",25,1,0,1,1
"166",25,2,0,2,2
"167",25,6,0,3,3
"168",25,12,0,1,1
"169",25,14,0,4,4
"170",25,21,1,0,-1
"171",26,0,0,1,1
"172",26,4,0,1,1
"173",26,12,1,4,3
"174",26,14,2,2,0
"175",26,15,1,0,-1
"176",26,17,2,1,-1
"177",26,19,2,0,-2
"178",26,20,2,4,2
"179",26,21,6,3,-3
"180",26,23,3,0,-3
"181",27,1,0,1,1
"182",27,2,0,1,1
"183",27,5,0,8,8
"184",27,11,0,1,1
"185",27,16,12,0,-12
"186",27,17,0,5,5
"187",27,18,10,2,-8
"188",27,22,1,1,0
"189",27,23,0,1,1
"190",28,2,2,1,-1
"191",28,4,1,0,-1
"192",28,13,1,0,-1
"193",28,15,2,4,2
"194",28,16,14,2,-12
"195",28,18,1,10,9
"196",28,19,3,7,4
