"","word","n"
"1","marchforourlives",14607
"2","gun",5713
"3","kids",4872
"4","school",4274
"5","nra",3826
"6","march",3683
"7","standing",3466
"8","weapons",3464
"9","words",3428
"10","absolutely",3319
"11","time",3311
"12","service",3308
"13","tomorro",3281
"14","civilians",3081
"15","allowed",3062
"16","youth",3019
"17","penalty",2957
"18","russia",2901
"19","automatic",2892
"20","handguns",2864
"21","maximum",2862
"22","possess",2862
"23","knowin",2861
"24","people",2532
"25","students",2455
"26","choice",2410
"27","awards",2355
"28","movement",2220
"29","voted",2166
"30","nickelodeon",2083
"31","stranger",2075
"32","fans",2074
"33","lives",1944
"34","nation's",1885
"35","dying",1856
"36","human",1846
"37","demanding",1812
"38","violence",1776
"39","basic",1742
"40","support",1742
"41","greed",1740
"42","children",1697
"43","vote",1649
"44","control",1608
"45","future",1524
"46","generation",1420
"47","stand",1380
"48","2a",1355
"49","change",1282
"50","trump",1206
"51","world",1162
"52","proud",1099
"53","day",1087
"54","it’s",1016
"55","sign",953
"56","unlimited.the",948
"57","country",920
"58","retweet",889
"59","fall",861
"60","save",836
"61","11",825
"62","santorum",814
"63","demand",807
"64","run",799
"65","message",792
"66","parkland",792
"67","gunreformnow",778
"68","yesterday",769
"69","dc",767
"70","hitler",764
"71","miles",754
"72","agree.we",751
"73","extensively",751
"74","investigated",751
"75","marched",748
"76","millions",736
"77","avoid",721
"78","you’re",719
"79","cover",716
"80","safety",714
"81","enoughisenough",707
"82","investigating",704
"83","left",698
"84","washington",697
"85","powerful",685
"86","action",682
"87","cpr",676
"88","guncontrolnow",669
"89","bluewave2018",656
"90","msdstrong",655
"91","worth",639
"92","1st",634
"93","rick",632
"94","finally",619
"95","student",617
"96","guy",615
"97","marching",615
"98","holocaust",611
"99","coming",610
"100","introducing",609
"101","mass",608
"102","shooting",601
"103","assault",600
"104","jews",596
"105","killing",587
"106","murder",587
"107","nazi's",587
"108","moment",575
"109","favorite",569
"110","ban",565
"111","news",563
"112","built",560
"113","can’t",555
"114","unarmed",554
"115","call",550
"116","love",550
"117","1000",540
"118","let’s",539
"119","plane",538
"120","flew",533
"121","united",528
"122","america",527
"123","guns",522
"124","stop",519
"125","meet",508
"126","shootings",495
"127","text",492
"128","activists",491
"129","columbus",487
"130","heard",486
"131","voices",485
"132","marcher",481
"133","eyes",480
"134","start",480
"135","speak",474
"136","votethemout",470
"137","amazing",468
"138","history",467
"139","listening",461
"140","telling",457
"141","protesting",455
"142","taking",454
"143","committed",451
"144","loud",447
"145","hearing",446
"146","garbage",443
"147","remain",443
"148","pushed",440
"149","u.s",430
"150","sad",429
"151","gop",427
"152","amendment",426
"153","denounce",426
"154","propaganda",426
"155","politicians",420
"156","reform",420
"157","november",419
"158","march4ourlives",413
"159","remember",411
"160","ass",409
"161","speaks",409
"162","classes",408
"163","hope",407
"164","i’m",393
"165","million",390
"166","child",389
"167","award",380
"168","rose",380
"169","scared",380
"170","ladies",378
"171","mouth",378
"172","leading",376
"173","nation",376
"174","tells",375
"175","hey",373
"176","beautiful",370
"177","bad",369
"178","intent",367
"179","pre",365
"180","fell",363
"181","gut",360
"182","laws",358
"183","flip",357
"184","kk",357
"185","owne",357
"186","2nd",355
"187","brave",354
"188","douglas",352
"189","friends",351
"190","stoneman",351
"191","word",351
"192","signs",349
"193","42",347
"194","emma",346
"195","04",345
"196","239",345
"197","94",345
"198","expired",345
"199","1996",344
"200","gonzalez",343
"201","voice",342
"202","money",340
"203","fight",339
"204","protest",339
"205","pledge",338
"206","safe",335
"207","fyi",333
"208","kicked",326
"209","rubio",323
"210","running",323
"211","naomi",317
"212","marjory",316
"213","unlimited",316
"214","marco",312
"215","nev",304
"216","feel",302
"217","los",301
"218","crowd",296
"219","office",296
"220","wadler",295
"221","election",293
"222","front",290
"223","agree",286
"224","inspiring",285
"225","sen",280
"226","bro",278
"227","common",274
"228","congress",274
"229","literally",274
"230","life",272
"231","bright",271
"232","lost",270
"233","don’t",266
"234","ange",263
"235","declares",263
"236","angry",261
"237","inspired",261
"238","houston",260
"239","footage",259
"240","american",258
"241","real",257
"242","access",256
"243","read",253
"244","politically",252
"245","prayers",252
"246","theresistance",248
"247","incredibly",246
"248","mob",243
"249","marchforourliveshouston",242
"250","reps",242
"251","rest",242
"252","weapon",242
"253","care",241
"254","gathering",241
"255","sandy",241
"256","stark",241
"257","difference.on",240
"258","tiki",240
"259","torches.on",240
"260","breaking",239
"261","doesn’t",239
"262","rally",238
"263","abt",237
"264","super",237
"265","guaranteed",235
"266","person",235
"267","war",235
"268","boycottnrasponsors",232
"269","constitutionally",232
"270","prevents",232
"271","secret",232
"272","6",231
"273","silence",231
"274","victims",229
"275","hook",228
"276","teens",228
"277","teachers",227
"278","neveragainyour",226
"279","hear",223
"280","job",223
"281","nyc",223
"282","sense",223
"283","rare",221
"284","death",220
"285","plotting",220
"286","god",219
"287","constitution",218
"288","guncontrol",217
"289","media",217
"290","fox",216
"291","happy",216
"292","means",213
"293","single",212
"294","join",209
"295","17",207
"296","eleven",207
"297","listen",207
"298","resist",207
"299","1",204
"300","republicans",204
"301","adults",203
"302","confident",202
"303","like.if",201
"304","heart",200
"305","carrying",199
"306","columbine",199
"307","matter",198
"308","societies",198
"309","wow",198
"310","gentlemen",197
"311","speaking",196
"312","survivors",196
"313","rights",195
"314","learn",193
"315","americans",192
"316","spread",192
"317","3",190
"318","florida",189
"319","immense",188
"320","tearing",188
"321","true",188
"322","yolanda",188
"323","inauguration",186
"324","renee",186
"325","streets",186
"326","2004",185
"327","grenade",185
"328","launcher",184
"329","m16a2",184
"330","m203",184
"331","neverag",184
"332","probe",184
"333","terrorist",184
"334","fit",183
"335","spring",183
"336","gents",181
"337","live",181
"338","fear",180
"339","killed",179
"340","pope",179
"341","shooter",178
"342","als",177
"343","president",176
"344","maga",175
"345","marchfortheirlives",175
"346","4",174
"347","stars",174
"348","ar",172
"349","supporting",171
"350","chuck",170
"351","ready",170
"352","safer",170
"353","walkout",168
"354","msnbc",166
"355","18",165
"356","wh",165
"357","talking",164
"358","marchforourlivesny",163
"359","16",162
"360","california",162
"361","coward",162
"362","idiots",162
"363","rapids",161
"364","cedar",160
"365","dear",160
"366","hero",160
"367","i’ve",160
"368","iowa",160
"369","power",160
"370","snowstorm",160
"371","yesterday’s",160
"372","5",159
"373","else’s",159
"374","follow",159
"375","forget",159
"376","society",159
"377","thousands",157
"378","wi",157
"379","honest",155
"380","nrabloodmoney",155
"381","post",155
"382","schools",154
"383","spoke",154
"384","courageous",153
"385","classmates",152
"386","home",152
"387","started",152
"388","2018",151
"389","cares",151
"390","parents",151
"391","silent",151
"392","yr",151
"393","conservatives",150
"394","paid",150
"395","banassaultweapons",149
"396","francis",148
"397","act",147
"398","9",146
"399","event",146
"400","par",146
"401","month",145
"402","abortion",143
"403","failed",143
"404","lead",143
"405","happen",142
"406","proli",142
"407","watch",142
"408","leaders",141
"409","marc",141
"410","minutes",141
"411","ne",141
"412","organizes",141
"413","owners",141
"414","that’s",141
"415","alright",140
"416","creator",140
"417","mother",140
"418","spoken",140
"419","voter",140
"420","connecticut",139
"421","marchers",139
"422","peace",139
"423","continue",138
"424","fbrparty",138
"425","shown",138
"426","wecallbs",138
"427","born",137
"428","registration",137
"429","watching",137
"430","community",136
"431","crying",136
"432","rallies",136
"433","women",136
"434","notonemore",135
"435","solidarity",135
"436","build",133
"437","fighting",133
"438","combine",132
"439","fig",132
"440","speech",132
"441","babies",131
"442","endgunviolence",131
"443","mention",131
"444","white",131
"445","quote",130
"446","sale",130
"447","sick",129
"448","steps",129
"449","website",129
"450","begin",128
"451","domestic",128
"452","organization",128
"453","anti",127
"454","kushner",127
"455","synergy",127
"456","donating",126
"457","met",126
"458","shot",126
"459","vile",126
"460","daughter",125
"461","fire",125
"462","protect",125
"463","tweet",125
"464","attacking",124
"465","headlines",124
"466","josh",124
"467","reminded",124
"468","voting",124
"469","we’re",124
"470","woman",124
"471","50,000",123
"472","cabinet",123
"473","earlier",123
"474","foxnews",123
"475","protesters",123
"476","chaos",122
"477","ignore",122
"478","night",121
"479","page",121
"480","compassion",120
"481","registered",120
"482","metoo",119
"483","pro",119
"484","veterans",119
"485","guys",118
"486","kill",118
"487","send",118
"488","shambles",118
"489","ad",116
"490","understand",116
"491","died",115
"492","lying",115
"493","gotta",114
"494","main",114
"495","gunviolence",113
"496","nazis",113
"497","ran",113
"498","hoped",112
"499","marchforourlivesla",112
"500","birthday",111
"501","die",111
"502","impeachtrump",111
"503","tomorrow",111
"504","wanna",111
"505","calling",110
"506","ma",110
"507","wake",110
"508","yo",110
"509","occurred",109
"510","personality",109
"511","teenagers",109
"512","wasnt",109
"513","beat",108
"514","local",108
"515","loved",108
"516","marchforourlivesrome",108
"517","meansget",108
"518","votefrom",108
"519","suggests",107
"520","2012",106
"521","hiding",106
"522","http",106
"523","sandyhook",106
"524","special",106
"525","force",105
"526","lobby",105
"527","massacre",105
"528","owns",105
"529","voters",105
"530","activism",104
"531","morning",104
"532","strong",104
"533","lobbying",103
"534","speeches",103
"535","matt",102
"536","families",101
"537","narrative",101
"538","attended",100
"539","black",100
"540","candidates",100
"541","colors",100
"542","rationale",100
"543","changing",99
"544","girl",99
"545","democrats",98
"546","politics",98
"547","promise",98
"548","story",98
"549","strength",98
"550","trend",98
"551","violent",98
"552","biggest",97
"553","shoul",97
"554","told",97
"555","citizen",96
"556","dealers",96
"557","drug",96
"558","head",96
"559","lack",96
"560","14",95
"561","gunshot",95
"562","incredible",95
"563","kidsusing",95
"564","organized",95
"565","talk",95
"566","veteran",95
"567","15",94
"568","desperate",94
"569","pray",94
"570","public",94
"571","rated",94
"572","trumpisscaredofkids",94
"573","walked",94
"574","written",94
"575","cadet",93
"576","gunreform",93
"577","honor",93
"578","names",93
"579","video",93
"580","woke",93
"581","biegel",92
"582","bonespurs",92
"583","he’s",92
"584","la",92
"585","political",92
"586","takes",92
"587","tired",92
"588","watched",92
"589","crisis",91
"590","blacklivesmatter",90
"591","close",90
"592","emmagonzalez",89
"593","exploiting",89
"594","isn’t",89
"595","neveraga",89
"596","photos",89
"597","didn’t",88
"598","germany.he",88
"599","impressed",88
"600","issue",88
"601","parklandstudents",88
"602","stupid",88
"603","dana",87
"604","hate",87
"605","kid",87
"606","marchforourlivesdc",87
"607","district",86
"608","evil",86
"609","officer",86
"610","sums",86
"611","age",85
"612","awe",85
"613","friend",85
"614","fut",85
"615","hand",85
"616","pictures",85
"617","prevent",85
"618","rohrabacher",85
"619","10",84
"620","car",84
"621","mar",84
"622","olds",84
"623","santa",84
"624","sundaymorning",84
"625","times",84
"626","deported",83
"627","difference",83
"628","mlk",83
"629","occupation",83
"630","reason",83
"631","truth",83
"632","amount",82
"633","king",82
"634","reached",82
"635","terror",82
"636","tragedy",82
"637","usa",82
"638","check",81
"639","current",81
"640","de",81
"641","ensure",81
"642","family",81
"643","marchfor",81
"644","protests",81
"645","saturday",81
"646","social",81
"647","song",81
"648","beginning",80
"649","class",80
"650","hold",80
"651","hours",80
"652","key",80
"653","maryland",80
"654","nation’s",80
"655","pass",80
"656","spent",80
"657","they’re",80
"658","12",79
"659","apparently",79
"660","building",79
"661","events",79
"662","obama",79
"663","democracy",78
"664","forces",78
"665","machine",78
"666","participate",78
"667","share",78
"668","sweet",78
"669","talked",78
"670","tha",78
"671","walk",78
"672","afraid",77
"673","buy",77
"674","charlotte",77
"675","chicago",77
"676","easy",77
"677","filled",77
"678","htt",77
"679","mistake",77
"680","weak",77
"681","blood",76
"682","called",76
"683","civil",76
"684","girls",76
"685","middle",76
"686","nraisaterroristorganization",76
"687","play",76
"688","politician",76
"689","reminder",76
"690","๑",75
"691","aboutrick",75
"692","angels.enough",75
"693","bet",75
"694","blood.enough",75
"695","david",75
"696","gt",75
"697","health",75
"698","interests.enoug",75
"699","killing.enough",75
"700","shootings.enough",75
"701","shut",75
"702","sic",75
"703","tears.enough",75
"704","vietnam",75
"705","bullies",74
"706","bus",74
"707","piece",74
"708","reign",74
"709","cnn",73
"710","ear",73
"711","escaped",73
"712","feels",73
"713","hide",73
"714","imagined",73
"715","wing",73
"716","lebanon",72
"717","milwaukee",72
"718","parklandheroes",72
"719","represent",72
"720","settled",72
"721","texas",72
"722","texts",72
"723","yesterday's",72
"724","christians",71
"725","marches",71
"726","mental",71
"727","perfectly",71
"728","struck",71
"729","blacklivesm",70
"730","guncontolnow",70
"731","hands",70
"732","nailed",70
"733","pretty",70
"734","teach",70
"735","21",69
"736","angel",69
"737","cover.we",69
"738","demonstrate",69
"739","epic",69
"740","innocent",69
"741","lucky",69
"742","south",69
"743","wash.emma",69
"744","worry",69
"745","wrong",69
"746","cousins",68
"747","decided",68
"748","energy",68
"749","granddaughter",68
"750","msd",68
"751","north",68
"752","takeaways",68
"753","trumpers",68
"754","turnout",68
"755","ago",67
"756","amjoy",67
"757","chad",67
"758","cowboy",67
"759","decades",67
"760","dozens",67
"761","entire",67
"762","prather",67
"763","st",67
"764","thought:how",67
"765","votethemout2018",67
"766","bu",66
"767","controlling",66
"768","countryi",66
"769","heavy",66
"770","lot",66
"771","meaningful",66
"772","nrakillskids",66
"773","sno",66
"774","they’ve",66
"775","thi",66
"776","articulate",65
"777","bluewavecoming2018",65
"778","emma4change",65
"779","nra’s",65
"780","parent",65
"781","personal",65
"782","slave",65
"783","star",65
"784","waiting",65
"785","bbc",64
"786","courage",64
"787","gina",64
"788","holds",64
"789","playing",64
"790","receive",64
"791","resource",64
"792","retweeted",64
"793","sadly",64
"794","spech",64
"795","volunteers",64
"796","90",63
"797","brother",63
"798","deserve",63
"799","idea",63
"800","led",63
"801","math",63
"802","registertovote",63
