"","topic","term","beta"
"1",1,"ha",2.39466262446057e-08
"2",2,"ha",1.9621922959906e-08
"3",3,"ha",0.00108833491180789
"4",4,"ha",1.47272814238028e-08
"5",5,"ha",7.9320768074979e-08
"6",6,"ha",1.43134016335019e-08
"7",1,"courtlinarrington",0.000138948204375844
"8",2,"courtlinarrington",0.000283561418098972
"9",3,"courtlinarrington",0.000188751119786014
"10",4,"courtlinarrington",0.000321285193878607
"11",5,"courtlinarrington",0.000238333851845394
"12",6,"courtlinarrington",0.000179476029311464
"13",1,"bannra",3.31593329849218e-05
"14",2,"bannra",1.21948206129894e-06
"15",3,"bannra",3.65338346316524e-06
"16",4,"bannra",8.52980726395654e-06
"17",5,"bannra",2.94423216437136e-06
"18",6,"bannra",0.000445552854069073
"19",1,"banassaultweapons",0.000994806724890335
"20",2,"banassaultweapons",0.000693051409069497
"21",3,"banassaultweapons",0.00259885567896454
"22",4,"banassaultweapons",0.00306931817773483
"23",5,"banassaultweapons",0.00177618749480004
"24",6,"banassaultweapons",0.00120378208726821
"25",1,"vote",0.00233397877953334
"26",2,"vote",0.00920058339870171
"27",3,"vote",0.00578210259037038
"28",4,"vote",0.00814437342775411
"29",5,"vote",0.000835596563933093
"30",6,"vote",0.002812411887913
"31",1,"boycottnra",0.0022326363323241
"32",2,"boycottnra",0.00358125875680141
"33",3,"boycottnra",0.00431752335295625
"34",4,"boycottnra",0.00451606272933378
"35",5,"boycottnra",0.00516944604480235
"36",6,"boycottnra",0.00230285342651305
"37",1,"register",0.000306736043611562
"38",2,"register",0.000340130018069352
"39",3,"register",0.000489520931393455
"40",4,"register",4.15256958043568e-05
"41",5,"register",0.000145977108915541
"42",6,"register",0.000402721214315057
"43",1,"impeachtrump",0.000182988600449335
"44",2,"impeachtrump",0.00034112101271887
"45",3,"impeachtrump",0.000314938731508694
"46",4,"impeachtrump",2.94439355705964e-05
"47",5,"impeachtrump",0.000364335476140656
"48",6,"impeachtrump",0.000157905846474238
"49",1,"nrabloodmoney",0.00233792363050288
"50",2,"nrabloodmoney",0.000856467865464146
"51",3,"nrabloodmoney",0.00230552203984092
"52",4,"nrabloodmoney",0.00272533699110023
"53",5,"nrabloodmoney",0.000362480940964002
"54",6,"nrabloodmoney",0.000163789861836183
"55",1,"guns",0.00323974119832791
"56",2,"guns",0.00235384053662625
"57",3,"guns",0.000476543560333758
"58",4,"guns",0.00498148820358886
"59",5,"guns",0.00591889982952671
"60",6,"guns",0.000142688718257061
"61",1,"davidhogg",2.67593730296717e-05
"62",2,"davidhogg",0.000211755286346765
"63",3,"davidhogg",8.81517220963305e-05
"64",4,"davidhogg",0.000121198474457265
"65",5,"davidhogg",0.000172705911837285
"66",6,"davidhogg",0.000114510628074385
"67",1,"terrorists",2.35568052527425e-05
"68",2,"terrorists",0.000216444046294934
"69",3,"terrorists",0.000216682659713915
"70",4,"terrorists",0.000273645704330216
"71",5,"terrorists",0.000174084089536345
"72",6,"terrorists",9.05444781448326e-06
"73",1,"nra",0.00285189076638309
"74",2,"nra",0.00140473439738476
"75",3,"nra",0.00207440660896557
"76",4,"nra",0.0163265701629436
"77",5,"nra",0.0104717365712584
"78",6,"nra",0.0109182946248313
"79",1,"school",0.00484670878729836
"80",2,"school",0.00736135155393817
"81",3,"school",0.00885975519953626
"82",4,"school",0.00165066449639431
"83",5,"school",0.0112803958715417
"84",6,"school",0.00782238908984507
"85",1,"gun",0.0114865938548603
"86",2,"gun",0.0341597536338934
"87",3,"gun",0.000286535799183728
"88",4,"gun",0.0249253905505611
"89",5,"gun",0.0363705433565963
"90",6,"gun",0.00956565357291716
"91",1,"free",0.000811749255944238
"92",2,"free",0.000232712733387674
"93",3,"free",0.00196205844538267
"94",4,"free",0.000579520481240493
"95",5,"free",0.00129470411597663
"96",6,"free",0.000674423023953031
"97",1,"truth",0.000260194033108585
"98",2,"truth",0.000282462652094333
"99",3,"truth",0.000296380116154669
"100",4,"truth",2.93223698080731e-06
"101",5,"truth",0.000214634403794251
