"id","tweet","date"
1,"Nothing outrages me more than hearing the NRA attacking high schoolers. Then it occurred to me: the NRA is attackin‚Ä¶ https://t.co/0f0VTPFwzk",2018-03-27 02:37:47
2,"... there‚Äôs no words to describe the outrage we feel today at what‚Äôs happening in our country, but we have a long w‚Ä¶ https://t.co/yD4V91Zuv5",2018-03-25 23:32:11
3,"Yesterday we watched our future march for a greater tomorrow Ì†ΩÌπèÌ†ºÌøº‚ù§Ô∏è #neveragain #MarchForOurLives https://t.co/4Le56pM5rC",2018-03-25 21:23:35
4,"""These kids didn‚Äôt spring suddenly from nowhere. They‚Äôve been watching us and learning from our nearly countless, s‚Ä¶ https://t.co/3EZe5HNc8h",2018-03-27 11:07:49
5,"RT @RepSwalwell: Nothing outrages me more than hearing the NRA attacking high schoolers. Then it occurred to me: the NRA is attacking these‚Ä¶",2018-03-27 11:07:47
6,"RT @joncoopertweets: Thousands register to vote at March for Our Lives demonstrations

‚ÄúPeople are really understanding the power of the vo‚Ä¶",2018-03-27 11:07:47
7,"RT @shashatheitch22: #MeghanMccain , your behaviour Is Deplorable ! Ì†ΩÌ≤Ø
#Hypocrite &amp; bully . 
 RT if you agree !
No empathy or compassion for‚Ä¶",2018-03-27 11:07:46
8,"RT @TweetingPriest: ""If they keep quiet, the stones will cry out""-Luke 19:40 
https://t.co/2XsfSo2Sqq
#MarchForOurLives  #LifeFirst #NeverA‚Ä¶",2018-03-27 11:07:45
9,"RT @RepSwalwell: Nothing outrages me more than hearing the NRA attacking high schoolers. Then it occurred to me: the NRA is attacking these‚Ä¶",2018-03-27 11:07:45
10,"RT @N_Fraiture: Ì†ºÌæµ‚ÄùCan‚Äôt fight against the youth.. cause we‚Äôre strong and them rude, rude people‚ÄùÌ†ºÌæµ(Sublime) 
Happy to walk and stand peacefu‚Ä¶",2018-03-27 11:07:42
11,"RT @JimCarrey: Today our nation's youth are demanding their basic human right to go to school without dying in the name of greed. It's time‚Ä¶",2018-03-27 11:07:41
12,"RT @coton_luver: @dherman001 @glennbeck @noprezzie2012 @DLoesch Emma Gonzalez did NOT tear up a copy of the Constitution. Below is the orig‚Ä¶",2018-03-27 11:07:39
13,"@joncoopertweets Anyone who sits back and whines and complains about Trump and this horrible GOP, and does not get‚Ä¶ https://t.co/z56FCUliQR",2018-03-27 11:07:37
14,"RT @PiperPerabo: I asked a @MomsDemand friend did any gun reform bills pass in #NJ today? She said...

           ‚ÄúTHEY ALL PASSED‚Äù

-curb‚Ä¶",2018-03-27 11:07:36
15,"RT @RebelPussy: #BlackLivesMatter
#WomensMarch
#MeToo
#EnoughIsEnough
#NeverAgain
#Resistance
#NativeAmerican

movement's R coming together‚Ä¶",2018-03-27 11:07:36
16,"RT @RepSwalwell: Nothing outrages me more than hearing the NRA attacking high schoolers. Then it occurred to me: the NRA is attacking these‚Ä¶",2018-03-27 11:07:33
17,"RT @StevenTatsak: I am a proud Navy (Ret) Veteran and I support the ban on assault rifles and high capacity magazines!
#VeteransForGunRefor‚Ä¶",2018-03-27 11:07:30
18,"RT @Goss30Goss: Guess the NRA &amp; idiots like Rick Santorum/Steve King feel powerful putting down teenagers who have survived a mass shooting‚Ä¶",2018-03-27 11:07:28
19,"RT @skittly11: Damn @BurgerKing no comment?! Rat poop at your fishhawk Burger King location! Reminding me how nasty fast food is I guess #n‚Ä¶",2018-03-27 11:07:27
20,"RT @RepSwalwell: Nothing outrages me more than hearing the NRA attacking high schoolers. Then it occurred to me: the NRA is attacking these‚Ä¶",2018-03-27 11:07:23
21,"RT @RepSwalwell: Nothing outrages me more than hearing the NRA attacking high schoolers. Then it occurred to me: the NRA is attacking these‚Ä¶",2018-03-27 11:07:21
22,"SO much support for @Emma4Change Ì†ΩÌ∏ÄÌ†ΩÌ≤™Ì†ΩÌ≤ñ
#NeverAgain #MarchForOurLives https://t.co/xZoCgXIG8l",2018-03-27 11:07:16
23,"U$A: a revision of priorities #marchforourlives #marchforourlivessf  #neveragain #trumpisgolfing‚Ä¶ https://t.co/znS5Hy1iTz",2018-03-27 11:07:14
24,"RT @RepSwalwell: Nothing outrages me more than hearing the NRA attacking high schoolers. Then it occurred to me: the NRA is attacking these‚Ä¶",2018-03-27 11:07:14
25,"@marietrottier78 @Emma4Change #NeverAgain #NeverAgainMSD Shameful #NRA attacking bereaved kids fighting 4 their liv‚Ä¶ https://t.co/Nl6BE9EU5o",2018-03-27 11:07:12
26,"RT @joncoopertweets: ‚ÄúIt‚Äôs just cowardice. A real leader would have been in Washington D.C., this weekend, not at his penthouse at Mar-a-La‚Ä¶",2018-03-27 11:07:11
27,"RT @joncoopertweets: Thousands register to vote at March for Our Lives demonstrations

‚ÄúPeople are really understanding the power of the vo‚Ä¶",2018-03-27 11:07:06
28,"RT @WhitfordBradley: I love you Wisconsin!!!! Retweet if you stand with these kids.  #NeverAgain  https://t.co/1M8Ev0RoC5",2018-03-27 11:07:05
29,"RT @AllyBrooke: I think about my little cousins, my future children, and all of the children across the country....I think of their safety,‚Ä¶",2018-03-27 11:07:00
30,"Can someone please explain to me why we let a small segment of our population dictate our nation's gun policy for s‚Ä¶ https://t.co/gJtGiRMmhh",2018-03-27 11:06:59
31,"RT @RepSwalwell: Nothing outrages me more than hearing the NRA attacking high schoolers. Then it occurred to me: the NRA is attacking these‚Ä¶",2018-03-27 11:06:58
32,"RT @Goss30Goss: I keep hearing alt rt pundits saying the #ParklandStudents are too immature &amp; uninformed to lead a movement to change polic‚Ä¶",2018-03-27 11:06:54
33,"RT @RepSwalwell: Nothing outrages me more than hearing the NRA attacking high schoolers. Then it occurred to me: the NRA is attacking these‚Ä¶",2018-03-27 11:06:53
