id,tweet,date
131-1,"Ruth Bader Ginsburg talks #MeToo movement, shares her stories: ""It's about time"" https://t.co/G94Dgva3mG via @HuffPostPol",1/23/2018 16:15
131-2,Democratic women will wear black to the State of the Union to show support for #MeToo https://t.co/np9qalR9ic via @voxdotcom,1/30/2018 20:57
131-3,"SNL tackles #MeToo, but what should you do when employees discuss #MeToo at work? https://t.co/pGyFg73vGy #TheEmployerHandbook via @jonhyman",1/30/2018 17:17
131-4,The latest Olori Supergal #News #Africa! https://t.co/FQExazz7WS Thanks to @BabaOloriokoBB @VoicingNG @amazingklef #metoo #grammys,1/27/2018 4:23
131-5,The latest Olori Supergal #News #Africa! https://t.co/FQExazz7WS Thanks to @BabaOloriokoBB @VoicingNG @amazingklef #metoo #grammys,1/27/2018 4:23
131-6,The latest Olori Supergal #News #Africa! https://t.co/FQExazz7WS Thanks to @BabaOloriokoBB @VoicingNG @amazingklef #metoo #grammys,1/27/2018 4:23
131-7,RT @Imamofpeace: Hey @JustinTrudeau I heard your speech at the World Economic Forum. You spoke about the #metoo movement and protecting wom…,1/27/2018 4:23
131-8,RT @Imamofpeace: Hey @JustinTrudeau I heard your speech at the World Economic Forum. You spoke about the #metoo movement and protecting wom…,1/27/2018 4:23
131-9,"RT @NBCNews: When the #MeToo movement exploded in October and the film academy revoked Harvey Weinstein's membership, the spotlight turned…",1/27/2018 4:23
131-10,"RT @NBCNews: When the #MeToo movement exploded in October and the film academy revoked Harvey Weinstein's membership, the spotlight turned…",1/27/2018 4:23
131-11,RT @coton_luver: @SpeakerRyan Fraud Paul Ryan pretends to cares abt #MeToo all while letting (R-PA) Pat Meeham &amp; (R-TX) Blake Farenthold re…,1/27/2018 4:23
131-12,RT @coton_luver: @SpeakerRyan Fraud Paul Ryan pretends to cares abt #MeToo all while letting (R-PA) Pat Meeham &amp; (R-TX) Blake Farenthold re…,1/27/2018 4:23
131-13,"RT @Salon: Sexual assault on airplanes is way too common, and #MeToo could change that https://t.co/Mg5MBshi0Q https://t.co/U7qBZ02XQS",1/27/2018 4:23
131-14,...The bigger problem is that before #MeToo far too many ppl probably had no idea that sexual abuse was so widespre… https://t.co/eJ50zSHCoQ,1/27/2018 4:24
131-15,RT @alaskantexanQCT: @AlexMohajer @HillaryClinton #ActivistBitches?? Well this is awkward Hillary.... #MeToo https://t.co/rXx2iqqd5b,1/27/2018 4:24
131-16,RT @alaskantexanQCT: @AlexMohajer @HillaryClinton #ActivistBitches?? Well this is awkward Hillary.... #MeToo https://t.co/rXx2iqqd5b,1/27/2018 4:24
131-17,RT @alaskantexanQCT: @AlexMohajer @HillaryClinton #ActivistBitches?? Well this is awkward Hillary.... #MeToo https://t.co/rXx2iqqd5b,1/27/2018 4:24
131-18,"RT @NBCNews: When the #MeToo movement exploded in October and the film academy revoked Harvey Weinstein's membership, the spotlight turned…",1/27/2018 4:24
131-19,"@NBCPolitics #HillaryClinton??  IS THE MOST DISGUSTING PERSON IN THE WORLD!! ABOUT THAT STORY SHE'S SPINNING, I COUL… https://t.co/uTERHJ1Oib",1/27/2018 4:24
131-20,"RT @NBCNews: When the #MeToo movement exploded in October and the film academy revoked Harvey Weinstein's membership, the spotlight turned…",1/27/2018 4:24
131-21,@WynnLasVegas Come clean Steve Wynn! Your dirty little secrets are now out in the open! #MeToo has come knocking an… https://t.co/imCDA5nxTJ,1/26/2018 19:07
131-22,RT @ResetTheTimer: @WynnLasVegas Come clean Steve Wynn! Your dirty little secrets are now out in the open! #MeToo has come knocking and you…,1/27/2018 4:24
131-23,RT @ResetTheTimer: @WynnLasVegas Come clean Steve Wynn! Your dirty little secrets are now out in the open! #MeToo has come knocking and you…,1/27/2018 4:24
131-24,RT @Imamofpeace: Hey @JustinTrudeau I heard your speech at the World Economic Forum. You spoke about the #metoo movement and protecting wom…,1/27/2018 4:24
131-25,RT @Imamofpeace: Hey @JustinTrudeau I heard your speech at the World Economic Forum. You spoke about the #metoo movement and protecting wom…,1/27/2018 4:24
131-26,@HillaryClinton I am becoming more aware of my voice.....#metoo i am inspired to write my METOO story. It has been… https://t.co/tvu9TIkvap,1/27/2018 4:24
131-27,"Who runs the world? Women of Color!
:
:
2018 is our year. We are evaporating the glass ceiling, speaking out truth,… https://t.co/3cKKpm8rfq",1/27/2018 4:24
131-28,RT @SelenaBrennan: #MeToo https://t.co/tLt5Q4eiUs,1/27/2018 4:24
131-29,"2 /    As Rachael asks, ""What is a child worth?"" I hope we can agree the value of a child is far too high to be tra… https://t.co/sOexMHgVkh",1/27/2018 4:25
131-30,@RaphaelBW Will the #comejack address the #metoo movement?,1/27/2018 4:25
131-31,RT @KimDotcom: Outrageous!!! #MeToo https://t.co/gr23U7jAzR,1/27/2018 4:25
131-32,"RT @noconversion: #MeToo 
#churchtoo 
#SpiritualAbuse 
#YouDontKnowEvangelicals
#IncredibleIndia 
#EmptyThePews
--
https://t.co/OuOtVz16n8",1/27/2018 4:25
131-33,"The #MeToo hero of the week is Judge Rosemarie Aquilina, who has allowed 140 women to give statements against Larry… https://t.co/7YzNcmMA6w",1/24/2018 16:20
131-34,"RT @laurenduca: The #MeToo hero of the week is Judge Rosemarie Aquilina, who has allowed 140 women to give statements against Larry Nassar.…",1/27/2018 4:25
131-35,Thankful for the leadership of my fellow @usmayors in the #metoo movement! #USCMwinter18 https://t.co/hzK7JtiJaE,1/24/2018 20:11
131-36,RT @SteveBenjaminSC: Thankful for the leadership of my fellow @usmayors in the #metoo movement! #USCMwinter18 https://t.co/hzK7JtiJaE,1/27/2018 4:25
131-37,Stay strong @nikkihaley all that did was open a door for you to stand up for those affected by #MeToo #SCStrong We know you. They don't.,1/27/2018 4:24
131-38,RT @SteveBenjaminSC: Thankful for the leadership of my fellow @usmayors in the #metoo movement! #USCMwinter18 https://t.co/hzK7JtiJaE,1/27/2018 4:25
131-39,I understand the #MeToo movement but it doesn't give women the right to complain 10 years later and destroy careers.,1/27/2018 4:25
131-40,"The #MeToo Movement Shakes Up the World Economic Forum
https://t.co/tmaJtU6bDI",1/27/2018 4:25
131-41,"RT @Cool_rads: Do not tell me I will be okay until you have seen the monsters I battle every time the sun goes down??

#MeToo",1/27/2018 4:25
131-42,"RT @RaulOrozco: #AM2DM #AMJoy #MorningJoe #MeToo #timesup #BestFanArmy #FF #NP   #NowPlaying #PMJoy  #FriYay #FridayFeeling 
#SaturdayMorni…",1/27/2018 4:25
131-43,"RT @RaulOrozco: #AM2DM #AMJoy #MorningJoe #MeToo #timesup #BestFanArmy #FF #NP   #NowPlaying #PMJoy  #FriYay #FridayFeeling 
#SaturdayMorni…",1/27/2018 4:26
131-44,"@arwenmh Of course they do

But now women are more about destruction and chaos than wanting to be men’s actual part… https://t.co/1cZLbD1Jsu",1/27/2018 4:26
131-45,"‘In this #MeToo age of reckoning with the violence of masculinity, I need to also reckon with the fact that I’ve ha… https://t.co/WrLFVN7Kiz",1/27/2018 4:26
131-46,3/4 Why isn't this trending?  #SaintHillary #Hillary #ButShesNotEvenAFeminist  #MeToo https://t.co/3FVl24MA4e,1/26/2018 21:02
131-47,RT @PattiTweeting: 3/4 Why isn't this trending?  #SaintHillary #Hillary #ButShesNotEvenAFeminist  #MeToo https://t.co/3FVl24MA4e,1/27/2018 4:26
131-48,Why I’m Struggling With the #MeToo Movement https://t.co/a6a1FyOHo6,1/27/2018 4:26
