"id","tweet","date","screenName","retweetCount","isRetweet","retweeted","favoriteCount"
1,"Let me say this again: Officers rarely get charged with the killings of blk folks in this country - and even more r… https://t.co/3Q6SJQaYD7",2018-03-27 15:29:57,"CharlesMBlow",7349,FALSE,FALSE,18164
2,"These are egregious reminders of repeated injustice and lack of police accountability. #AltonSterling is the latest… https://t.co/LYXxE2rCrt",2018-03-27 18:30:09,"blackvoices",3869,FALSE,FALSE,4505
3,"More people have been punished for taking a knee to fight white supremacy than those who murder in cold blood on video. #AltonSterling",2018-03-27 17:00:42,"eugenegu",3665,FALSE,FALSE,9030
4,"RT @AprilDRyan: I asked @PressSec for @POTUS @realDonaldTrump comment and leadership on deaths of #AltonSterling #EricGarner #StephonClark…",2018-03-28 23:23:14,"mamaontheleft",709,TRUE,FALSE,0
5,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:23:13,"alananikki",29552,TRUE,FALSE,0
6,"RT @AprilDRyan: I asked @PressSec for @POTUS @realDonaldTrump comment and leadership on deaths of #AltonSterling #EricGarner #StephonClark…",2018-03-28 23:23:12,"angelafrancis",709,TRUE,FALSE,0
7,"RT @tariqnasheed: #AltonSterling getting legally lynched should wake more Black people up to the reality that:
*You have ZERO legal protect…",2018-03-28 23:23:11,"realreec",1577,TRUE,FALSE,0
8,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:23:11,"_Lxura_",29552,TRUE,FALSE,0
9,"RT @boobiegotti2: We apologize that Baton Rouge and Louisiana failed you!! #AltonSterling",2018-03-28 23:23:01,"_SheSoTINY",959,TRUE,FALSE,0
10,"RT @Astorix23: That’s right. Demonize the victim to justify summary execution, Police State Barbie.  #AltonSterling https://t.co/yVcbbDpPV2",2018-03-28 23:22:58,"AnonBruja",2,TRUE,FALSE,0
11,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:22:58,"_erkkk",29552,TRUE,FALSE,0
12,"RT @MyDaughtersArmy: Jane Elliott: ""If you, as a white person, would be happy to receive the same treatment as our black citizens do in thi…",2018-03-28 23:22:57,"DasEarlGray",2123,TRUE,FALSE,0
13,"RT @eugenegu: More people have been punished for taking a knee to fight white supremacy than those who murder in cold blood on video. #Alto…",2018-03-28 23:22:54,"CynicalVision50",3665,TRUE,FALSE,0
14,"RT @AfricanaCarr: Breaking News: Louisiana Attorney General indicts Nobody in the police killing of #AltonSterling . Nobody, a career murde…",2018-03-28 23:22:53,"theadebolayinka",527,TRUE,FALSE,0
15,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:22:46,"loveeecheeer",29552,TRUE,FALSE,0
16,"RT @eugenegu: Once again I’m taking a knee to protest the cold-blooded murders of Stephon Clark, Philando Castile, Eric Garner, Michael Bro…",2018-03-28 23:22:45,"GheeMoney",2185,TRUE,FALSE,0
17,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:22:45,"LaDariusTheReal",29552,TRUE,FALSE,0
18,"RT @ZerlinaMaxwell: Now do ya'll understand why @Kaepernick7 takes a knee?

#AltonSterling",2018-03-28 23:22:39,"mariahjoeyoung",4018,TRUE,FALSE,0
19,"RT @lynnv378: #StephonClark had a cell phone.
#TamirRice had a toy gun
#WalterScott was running away
#SandraBland had a broken tail light
#…",2018-03-28 23:22:32,"coolmomlife",1958,TRUE,FALSE,0
20,"RT @BlueColossus: Blacks account for 49% of all murder,
yet comprise only 14% of the population.

93% of black victims are murdered by othe…",2018-03-28 23:22:30,"bowhunter_va",39,TRUE,FALSE,0
21,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:22:29,"ruthbitamazire",29552,TRUE,FALSE,0
22,"RT @eugenegu: More people have been punished for taking a knee to fight white supremacy than those who murder in cold blood on video. #Alto…",2018-03-28 23:22:28,"thatgirl523",3665,TRUE,FALSE,0
23,"RT @JLA9178: One thing I'll never understand is how America can rally &amp; protest in every city to stop innocent people from being gunned dow…",2018-03-28 23:22:28,"mapsarecool12",108,TRUE,FALSE,0
24,"RT @zellieimani: I die a little bit each time it’s announced an officer won’t be charged for the death of a Black person. #AltonSterling",2018-03-28 23:22:21,"ProlificLegacy",1201,TRUE,FALSE,0
25,"RT @lynnv378: #StephonClark had a cell phone.
#TamirRice had a toy gun
#WalterScott was running away
#SandraBland had a broken tail light
#…",2018-03-28 23:22:16,"flyingsargle",1958,TRUE,FALSE,0
26,"RT @DonC085: Msm says a blue wave is coming for The November 2018 midterms. Polls show Dems up by 5. How will you vote in the midterms? Vot…",2018-03-28 23:22:15,"Lisamanley19",206,TRUE,FALSE,0
27,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:22:14,"melissajt",29552,TRUE,FALSE,0
28,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:22:10,"chels_marie310",29552,TRUE,FALSE,0
29,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:22:07,"ErikaLDavis9",29552,TRUE,FALSE,0
30,"RT @blackvoices: These are egregious reminders of repeated injustice and lack of police accountability. #AltonSterling is the latest victim…",2018-03-28 23:22:05,"rebeccaisdope",3869,TRUE,FALSE,0
31,"RT @AprilDRyan: I asked @PressSec for @POTUS @realDonaldTrump comment and leadership on deaths of #AltonSterling #EricGarner #StephonClark…",2018-03-28 23:22:04,"Dmilhouse6922",709,TRUE,FALSE,0
32,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:22:03,"afrosandmelanin",29552,TRUE,FALSE,0
33,"RT @eugenegu: Once again I’m taking a knee to protest the cold-blooded murders of Stephon Clark, Philando Castile, Eric Garner, Michael Bro…",2018-03-28 23:22:03,"VelekeRick",2185,TRUE,FALSE,0
34,"RT @HelenBrosnan: ""I'll kill you, bitch."" 

Words Alton Sterling heard just before he was murdered by a police officer. He was a victim of…",2018-03-28 23:22:02,"bellafea71",4728,TRUE,FALSE,0
35,"RT @AprilDRyan: I asked @PressSec for @POTUS @realDonaldTrump comment and leadership on deaths of #AltonSterling #EricGarner #StephonClark…",2018-03-28 23:22:01,"beam4boys",709,TRUE,FALSE,0
36,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:21:58,"AngelaG72252010",29552,TRUE,FALSE,0
37,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:21:56,"__Shaila",29552,TRUE,FALSE,0
